,0
PARTICIPANT01$1,77.3011
PARTICIPANT01$2,77.3011
PARTICIPANT01$3,77.3011
PARTICIPANT01$4,77.3011
PARTICIPANT01$5,77.3011
PARTICIPANT01$6,77.3011
PARTICIPANT01$7,77.3011
PARTICIPANT01$8,77.3011
PARTICIPANT02$1,80.8461
PARTICIPANT02$2,80.8461
PARTICIPANT02$3,80.8461
PARTICIPANT02$4,80.8461
PARTICIPANT02$5,80.8461
PARTICIPANT02$6,80.8461
PARTICIPANT03$1,76.8747
PARTICIPANT03$2,76.8747
PARTICIPANT03$3,76.8747
PARTICIPANT03$4,76.8747
PARTICIPANT03$5,76.8747
PARTICIPANT03$6,76.8747
PARTICIPANT04$1,89.3777
PARTICIPANT04$2,89.3777
PARTICIPANT04$3,89.3777
PARTICIPANT04$4,89.3777
PARTICIPANT04$5,89.3777
PARTICIPANT04$6,89.3777
PARTICIPANT05$1,78.5226
PARTICIPANT05$2,78.5226
PARTICIPANT05$3,78.5226
PARTICIPANT05$4,78.5226
PARTICIPANT05$5,78.5226
PARTICIPANT05$6,78.5226
PARTICIPANT06$1,80.598
PARTICIPANT06$2,80.598
PARTICIPANT06$3,80.598
PARTICIPANT06$4,80.598
PARTICIPANT06$5,80.598
PARTICIPANT06$6,80.598
PARTICIPANT07$1,79.9244
PARTICIPANT07$2,79.9244
PARTICIPANT07$3,79.9244
PARTICIPANT07$4,79.9244
PARTICIPANT07$5,79.9244
PARTICIPANT07$6,79.9244
PARTICIPANT08$1,78.3018
PARTICIPANT08$2,78.3018
PARTICIPANT08$3,78.3018
PARTICIPANT08$4,78.3018
PARTICIPANT08$5,78.3018
PARTICIPANT09$1,80.706
PARTICIPANT09$2,80.706
PARTICIPANT09$3,80.706
PARTICIPANT09$4,80.706
PARTICIPANT09$5,80.706
PARTICIPANT09$6,80.706
PARTICIPANT10$1,40.2361
PARTICIPANT10$2,40.2361
PARTICIPANT10$3,40.2361
PARTICIPANT10$4,40.2361
PARTICIPANT10$5,40.2361
PARTICIPANT10$6,40.2361
PARTICIPANT10$7,40.2361
PARTICIPANT10$8,40.2361
PARTICIPANT10$9,40.2361
PARTICIPANT11$1,79.8859
PARTICIPANT11$2,79.8859
PARTICIPANT11$3,79.8859
PARTICIPANT11$4,79.8859
PARTICIPANT11$5,79.8859
PARTICIPANT11$6,79.8859
PARTICIPANT12$1,85.1189
PARTICIPANT12$2,85.1189
PARTICIPANT12$3,85.1189
PARTICIPANT12$4,85.1189
PARTICIPANT12$5,85.1189
PARTICIPANT12$6,85.1189
PARTICIPANT12$7,85.1189
PARTICIPANT13$1,71.8972
PARTICIPANT13$2,71.8972
PARTICIPANT13$3,71.8972
PARTICIPANT13$4,71.8972
PARTICIPANT14$1,84.8158
PARTICIPANT14$2,84.8158
PARTICIPANT14$3,84.8158
PARTICIPANT14$4,84.8158
PARTICIPANT14$5,84.8158
PARTICIPANT14$6,84.8158
PARTICIPANT15$1,78.3846
PARTICIPANT15$2,78.3846
PARTICIPANT15$3,78.3846
PARTICIPANT15$4,78.3846
PARTICIPANT15$5,78.3846
PARTICIPANT15$6,78.3846
PARTICIPANT15$7,78.3846
PARTICIPANT15$8,78.3846
PARTICIPANT16$1,71.4722
PARTICIPANT16$2,71.4722
PARTICIPANT16$3,71.4722
PARTICIPANT16$4,71.4722
PARTICIPANT16$5,71.4722
PARTICIPANT16$6,71.4722
PARTICIPANT17$1,82.5127
PARTICIPANT17$2,82.5127
PARTICIPANT17$3,82.5127
PARTICIPANT17$4,82.5127
PARTICIPANT17$5,82.5127
PARTICIPANT17$6,82.5127
PARTICIPANT18$1,71.3884
PARTICIPANT18$2,71.3884
PARTICIPANT18$3,71.3884
PARTICIPANT18$4,71.3884
PARTICIPANT18$5,71.3884
PARTICIPANT19$1,89.9279
PARTICIPANT19$2,89.9279
PARTICIPANT19$3,89.9279
PARTICIPANT19$4,89.9279
PARTICIPANT19$5,89.9279
PARTICIPANT19$6,89.9279
PARTICIPANT20$1,74.8661
PARTICIPANT20$2,74.8661
PARTICIPANT20$3,74.8661
PARTICIPANT20$4,74.8661
PARTICIPANT20$5,74.8661
PARTICIPANT20$6,74.8661
PARTICIPANT21$1,78.009
PARTICIPANT21$2,78.009
PARTICIPANT21$3,78.009
PARTICIPANT21$4,78.009
PARTICIPANT21$5,78.009
PARTICIPANT21$6,78.009
PARTICIPANT22$1,77.322
PARTICIPANT22$2,77.322
PARTICIPANT22$3,77.322
PARTICIPANT22$4,77.322
PARTICIPANT22$5,77.322
PARTICIPANT22$6,77.322
PARTICIPANT22$7,77.322
PARTICIPANT22$8,77.322
PARTICIPANT22$9,77.322
PARTICIPANT22$10,77.322
PARTICIPANT23$1,75.0925
PARTICIPANT23$2,75.0925
PARTICIPANT23$3,75.0925
PARTICIPANT23$4,75.0925
PARTICIPANT23$5,75.0925
PARTICIPANT23$6,75.0925
PARTICIPANT23$7,75.0925
PARTICIPANT24$1,62.2363
PARTICIPANT24$2,62.2363
PARTICIPANT24$3,62.2363
PARTICIPANT24$4,62.2363
PARTICIPANT24$5,62.2363
PARTICIPANT24$6,62.2363
PARTICIPANT25$1,79.26
PARTICIPANT25$2,79.26
PARTICIPANT25$3,79.26
PARTICIPANT25$4,79.26
PARTICIPANT25$5,79.26
PARTICIPANT25$6,79.26
PARTICIPANT25$7,79.26
PARTICIPANT26$1,74.0442
PARTICIPANT26$2,74.0442
PARTICIPANT26$3,74.0442
PARTICIPANT26$4,74.0442
PARTICIPANT26$5,74.0442
PARTICIPANT26$6,74.0442
PARTICIPANT26$7,74.0442
PARTICIPANT27$1,85.2375
PARTICIPANT27$2,85.2375
PARTICIPANT27$3,85.2375
PARTICIPANT27$4,85.2375
PARTICIPANT27$5,85.2375
PARTICIPANT27$6,85.2375
PARTICIPANT27$7,85.2375
PARTICIPANT28$1,76.1032
PARTICIPANT28$2,76.1032
PARTICIPANT28$3,76.1032
PARTICIPANT28$4,76.1032
PARTICIPANT28$5,76.1032
PARTICIPANT28$6,76.1032
PARTICIPANT29$1,77.6568
PARTICIPANT29$2,77.6568
PARTICIPANT29$3,77.6568
PARTICIPANT29$4,77.6568
PARTICIPANT29$5,77.6568
PARTICIPANT29$6,77.6568
PARTICIPANT30$1,71.4692
PARTICIPANT30$2,71.4692
PARTICIPANT30$3,71.4692
PARTICIPANT30$4,71.4692
PARTICIPANT30$5,71.4692
PARTICIPANT30$6,71.4692
PARTICIPANT31$1,79.9635
PARTICIPANT31$2,79.9635
PARTICIPANT31$3,79.9635
PARTICIPANT31$4,79.9635
PARTICIPANT31$5,79.9635
PARTICIPANT31$6,79.9635
PARTICIPANT32$1,63.6213
PARTICIPANT32$2,63.6213
PARTICIPANT32$3,63.6213
PARTICIPANT32$4,63.6213
PARTICIPANT32$5,63.6213
PARTICIPANT33$1,67.7068
PARTICIPANT33$2,67.7068
PARTICIPANT33$3,67.7068
PARTICIPANT33$4,67.7068
PARTICIPANT33$5,67.7068
PARTICIPANT33$6,67.7068
PARTICIPANT34$1,70.3814
PARTICIPANT34$2,70.3814
PARTICIPANT34$3,70.3814
PARTICIPANT34$4,70.3814
PARTICIPANT34$5,70.3814
PARTICIPANT34$6,70.3814
PARTICIPANT34$7,70.3814
PARTICIPANT35$1,70.1399
PARTICIPANT35$2,70.1399
PARTICIPANT35$3,70.1399
PARTICIPANT35$4,70.1399
PARTICIPANT35$5,70.1399
PARTICIPANT35$6,70.1399
PARTICIPANT35$7,70.1399
PARTICIPANT35$8,70.1399
PARTICIPANT35$9,70.1399
PARTICIPANT35$10,70.1399
PARTICIPANT36$1,76.2395
PARTICIPANT36$2,76.2395
PARTICIPANT36$3,76.2395
PARTICIPANT36$4,76.2395
PARTICIPANT36$5,76.2395
PARTICIPANT36$6,76.2395
PARTICIPANT37$1,68.6942
PARTICIPANT37$2,68.6942
PARTICIPANT37$3,68.6942
PARTICIPANT37$4,68.6942
PARTICIPANT37$5,68.6942
PARTICIPANT37$6,68.6942
PARTICIPANT38$1,79.8229
PARTICIPANT38$2,79.8229
PARTICIPANT38$3,79.8229
PARTICIPANT38$4,79.8229
PARTICIPANT38$5,79.8229
048_1$1,76.287
023_1$1,78.0151
167_1$1,82.9041
104_2$1,82.0423
180_1$1,87.5536
308_1$1,74.6402
300_2$1,78.732
188_2$1,83.9688
363_1$1,82.4348
029_1$1,76.2036
042_1$1,81.1066
106_1$1,77.2034
021_2$1,77.6046
165_2$1,85.8522
369_1$1,76.4435
182_2$1,76.4661
225_2$1,67.2341
302_1$1,84.8388
246_1$1,76.945
202_1$1,74.5711
346_1$1,78.0858
261_2$1,81.3654
325_2$1,77.2279
082_2$1,75.7427
269_1$1,79.0678
121_2$1,75.6546
065_2$1,79.7577
142_1$1,80.3038
129_1$1,90.8085
286_2$1,77.2266
263_1$1,76.1701
327_1$1,85.2456
088_2$1,81.7296
200_2$1,74.419
344_2$1,74.1194
208_1$1,75.2409
080_1$1,67.7092
004_2$1,80.6077
123_1$1,77.8413
284_1$1,86.3213
084_1$1,80.604
348_1$1,77.9997
267_1$1,74.7176
323_1$1,77.5426
340_2$1,80.3089
