,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
BrainLat:CL-sub-30003,0.4964914166621249,0.5210788232333698,0.6010959744990121,0.5677408699261194,0.5412754558997377,0.26682102274404923,0.39762631516897345,0.3778088781808829,0.4231579629667358,0.39236273577292025,0.46447130462839253,0.23778145618522664,0.3540018823161136,0.37579091129772446,0.429655484664973,0.39506868113366705,0.3974155597929278,0.2053893043979562,0.5638515221438067,0.4812651360372156,0.7018441679120445,0.9042115584635676,0.8665818832221381,0.40496079728858725,0.8238765736524913,0.6009469670443661,1.2177661840367553,1.8315255706720792,1.263308263903942,0.6938409623822156,1.2695883777905965,0.731351500064198,0.4065929003492918,0.31070007964997176,1.4431301337028075,0.3851348341420333,1.3838918676766403,0.7606408525796331,0.3598455814572444,0.252564079012218,1.4298579478263214,0.3954039610779583,1.7502873018814304,0.6983917027734339,0.36584518290491475,0.28326352685260614,1.911681488517318,0.42950708456654363
BrainLat:CL-sub-30006,1.5041142230896298,1.1880966583786614,1.5295892332069498,1.6025343936733165,2.121924374439189,1.236411147526727,0.9995366683517473,0.9129899373647322,1.0851861663746842,1.0333311185764387,1.6305984238054043,0.8429362306831322,1.119109835381274,0.9767433333814473,1.1898850442290103,1.1611539398981758,1.698629817427351,0.9754592493001398,1.0463563339310795,0.8990575495932223,0.8966971571192457,0.794913381805471,1.4223221278200888,0.7331417354149813,0.9514987115925951,0.6370372256998907,0.6058519341087918,0.5508749098436022,1.0504502291360291,0.5461327940174194,0.740018380832087,0.4965014755713244,0.3456752660259171,0.31989322973634016,1.0063150897664768,0.28741849456392826,0.8496521837544375,0.4590615951490558,0.2596152655245842,0.22812149556123532,0.9310102544999196,0.27074310793870765,0.9102481452642008,0.41046944101691824,0.2325044044231429,0.2046030636600932,1.0530777264586137,0.2521016916367495
BrainLat:CL-sub-30016,3.0028521324998723,2.0907184129302614,1.5312730766393918,1.4598079466836598,2.221498266139757,1.2686350840610015,1.6019494734472808,1.2392677889744426,0.965062532460178,0.9006688827214241,1.3025333984167486,0.777755955964102,2.008407577285182,1.5081640990471048,1.1484824286121507,1.0408805751057322,1.5412409243650047,0.9124520249676628,1.6978324125521616,1.1892692256286572,0.962020950862601,0.9195607488185265,1.3229525471974668,0.8062926389346504,1.311857229272901,0.7846898178562911,0.6364711992594909,0.6730219091508679,0.8821710221254713,0.5912118098466164,1.0279352773414845,0.4368874654124134,0.32255480885140425,0.36031206576191255,0.7574512556720229,0.36009356564255196,1.0637511547257095,0.42521642479711835,0.29592970449267275,0.3650754970775475,0.785850818908233,0.36162482640520593,1.1520428481824705,0.35936151522118853,0.24456685495296931,0.32754933497191324,0.8283765710309965,0.3536081144520833
BrainLat:CL-sub-30019,3.2535132655664243,2.0927008466236217,1.0802159488105154,0.9094113096628733,2.0422248107705268,1.3304066400244674,1.5818900172716883,1.0785885175622678,0.6834079787281853,0.6241266864835944,1.2689780584037993,0.7384540887861206,1.9437635592289675,1.2940410198008152,0.7018498838100298,0.5701309651120434,1.2497151902131842,0.8313528732087397,1.8421269360974093,1.2436688169763226,1.3758095737854446,1.8204200515652247,2.490414356879587,1.138160909058122,1.5979021272425409,1.2003941951151018,1.9217768636546988,2.5968236926063275,2.850171580075511,1.3205168553821114,0.8974360549106368,0.5913909669879358,0.3932348345430546,0.3750136336949438,0.8973370117374615,0.36077768795363874,0.7965993021654052,0.47254799919363166,0.24011426379373513,0.20621907496941336,0.6867608443789678,0.26750839639765445,0.7356149550715485,0.36510813618514487,0.19592746530194977,0.17444070780854426,0.7457822043952145,0.21391730585531032
BrainLat:CL-sub-30021,4.838844067101396,2.4492329871554057,3.5208024928288038,2.835874119084851,3.6115027708344316,2.155560461726456,3.461091318497798,2.588795069881907,3.1140180492133567,2.44851884190238,3.5602809516340157,2.463745983173867,3.020985979651992,2.1914885120897196,2.8261044983126906,2.216432244422213,2.6018641905019257,1.7344758127678197,3.0259823656641958,2.3918092953452312,2.9233657825885673,2.349267045258762,3.341002144172171,1.9563465240289701,1.922060661177107,1.6182111260231669,2.182874995630358,1.981051826627623,2.2096120375943995,1.304115775969831,0.5033360338011624,0.38053163457431605,0.4697095710135243,0.3757653204728836,0.40670930376802694,0.2379643344055265,0.3911511784835006,0.2594551712013801,0.25553156507045105,0.20019568006572436,0.2618813743213294,0.16384862196907649,0.272853131525935,0.14851327602162426,0.14303050601822836,0.12844351348797542,0.20748924609432148,0.10038029392309383
BrainLat:CL-sub-30023,2.991360623571635,2.8712226830687966,2.9177461728267184,2.961184750761147,4.405039685929109,1.2545735578773007,1.6516526797037172,1.7341088478450197,1.6487998382300084,1.7075511806223826,2.8639572699681333,0.9086044875768209,1.9988668340537683,2.0702816975299507,1.8985741038136614,1.8517104558650765,2.968676571171235,0.8649193131995118,2.5410130429217106,2.781234207517207,2.6207705502981486,2.5899899828250486,5.3234226353019105,1.6481271588900177,1.6972792227645037,2.3072393897453773,2.983056300027821,3.043321524861737,4.570440384577313,1.5080315832795794,0.5501261519299748,0.536985184714056,0.5171919520408838,0.5601320493840481,0.6652880750773184,0.28524977897373077,0.40953198847582756,0.25767629216751997,0.23366001745037432,0.336312206104592,0.3743189290810679,0.164279992376758,0.431735251258764,0.20107714253562417,0.15698777767284636,0.26578189928479234,0.33952337415332623,0.1491793824668065
BrainLat:CL-sub-30024,4.551196553512983,1.1427236424162572,0.703186815932599,0.5238630493755311,1.9164520078688656,1.3829687901080792,1.1367053770540747,0.39198730360074496,0.2893894946567061,0.22716803133700317,0.5867006302108745,0.39758128147317084,2.222986404242046,0.6763058116340495,0.4542101062753975,0.3359633830436744,1.1011432677972885,0.7070234364545624,0.8111768442075166,0.32730162710462496,0.2752652114638036,0.2400901185886493,0.5442250466103075,0.31837368217480777,0.5492749916239321,0.26388715418828684,0.22213577505513166,0.18892356386707362,0.4169756074549938,0.21456639617153642,0.9243763160232806,0.25784991806265756,0.1360647880751835,0.08965182741393349,0.5854079273641061,0.2494288917741654,1.3885193971992045,0.34502421810098766,0.12650547524688832,0.07335714313188095,0.8899651883941561,0.34902221016835416,1.0191578763657854,0.23038060291350623,0.0883986823877882,0.05059470526368306,0.6776056624370265,0.24031904547819474
BrainLat:CL-sub-30027,1.9314186514181992,1.8736931290330971,1.7685275206591713,1.476592891122827,2.2023167058569353,1.1182510266138033,0.8499251321020005,0.9014167578781701,0.9598784978780697,0.9217264007199392,1.2569129778935766,0.6610958913809338,1.1480565079838525,1.0644522003030286,0.9059779707591,0.8145324551439872,1.2209668364376096,0.7107864445467218,1.0047821210464183,1.2017291255067597,1.595297933344411,1.6540995237794132,2.09194449169869,0.9961091964804143,1.492594789557234,2.1446251807989567,2.643531458249238,2.517554886984517,2.9931811934255093,1.6185194060021992,0.7682428950482534,0.6113197140212124,0.4302179554556869,0.33014523294624065,0.8480901145548148,0.3572391045243285,0.856088849722689,0.7681506114497545,0.4069527154007183,0.2780727144707935,1.0957473935831017,0.3174998468366904,0.7839600952504235,0.5423922412356982,0.30083431426243096,0.2206807209031691,1.044426494124931,0.24566334789952365
BrainLat:CL-sub-30033,2.8970533457328673,1.6915659267755867,1.8454868563363347,2.4421799547805034,3.8209803223073635,1.2320063428556238,1.0013521356674693,0.8902454989032212,1.3501837329409376,1.842789650534363,1.7241665703810696,0.7818007228820874,1.386390100232944,0.9766632992140106,1.2217412172531459,1.697890401058419,1.9922671317226492,0.7944162767948751,1.645474820551112,2.024590466812464,7.1181202120550555,9.555108345788618,7.010140175060342,4.045871004870768,1.8092776967819004,2.995888852909442,8.506446933095855,11.373785477444288,6.408000454697787,4.87685938755022,0.38626663231049163,0.461512941339932,0.4976917209663743,0.4138104862453444,0.5194331024352011,0.24482663136443092,0.31226545227793845,0.28791845322903686,0.20608416329798546,0.1268944809804582,0.26976325981463817,0.14398544752365008,0.2545725197183481,0.09527847535220058,0.07781830526824868,0.06871116576950688,0.24481948414993965,0.07538503818309956
BrainLat:CL-sub-30035,3.2617447153010817,1.4642566734121671,0.9035169625360325,0.815549557750039,1.7542857006023953,1.1507819675133621,1.1426148671125855,0.7477712182827413,0.7187049420965151,0.7100861564382543,1.0200218195286712,0.5805878173696256,1.7435825496177024,0.9532888469122145,0.6931912989418372,0.6280381676604895,1.122832790155106,0.7037779242054559,1.2220669417691619,0.8246709417167049,1.02612474264833,1.164848106063476,1.585758103458627,0.7055992249903251,1.1223551997497347,0.9033398152163762,1.454037165688218,1.9063702036339052,2.076022233088044,0.8467257278572925,0.8711451411156348,0.6775863577605991,0.5075726198260293,0.37354205647858313,0.782221860225795,0.3537404554927747,0.8788857793784148,0.45115473931936867,0.2691631917095191,0.23416074394032885,0.9158060836067923,0.24360848424972542,0.9455781896998294,0.35980592099793846,0.2149491168573582,0.2052929343245893,0.9910777042847836,0.22976426176596826
