,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Istambul-falames1,2.345607102061404,2.54653204937641,4.431744157780372,3.8063897775326905,3.2732329602046666,1.8563199962069903,0.8931625905998365,0.5967000764559728,1.4575211159862556,1.8925392756214614,1.9297315330489564,0.8743858258003634,1.2447461655621292,1.1020649148294404,1.86312418233781,1.8083972721887545,1.7924569278639997,0.8875413366765018,1.43770764897509,0.8097342742068979,2.3188416115428194,2.7899179741837905,3.348641521246028,1.549331102865529,1.3416210910592536,1.146545743424914,4.098000821619336,5.836524430838565,4.353388574249609,2.867138165730586,0.42977916814265593,0.23472244960516916,0.3363853732672316,0.35620691733087484,0.6451270677054061,0.24277555785004123,0.320612514527514,0.18052934609363114,0.14950305249960869,0.15520409277463604,0.4390042209349574,0.1215814589452884,0.4364682233471107,0.09252645000257559,0.09871007456358126,0.13231274284622857,0.6626204844562099,0.09313082828051615
Istambul-falcehl1,2.6851148050297864,4.0845811537739065,3.9750996671338057,2.3976737282175633,2.1331022450684824,1.6410371207031123,1.4031489032186415,1.779160112911925,1.5783724112149944,1.5727516790924547,1.1599079162075265,1.2269753776413328,1.4875901509383573,2.284915280439165,2.137574664874784,1.515470483468548,1.396597785137115,1.0614705236569983,1.2140690525066782,1.826357821006814,2.6617827786093575,2.7029810668849286,2.382265938988911,1.8154167478402965,0.9952631189680796,1.622336745177008,3.0195926339450154,3.659330166577032,3.1218401955510813,1.945512073222158,0.4617593183780186,0.6978762337855625,0.4835912744675122,0.3218490735957561,0.43722932230992917,0.31707407988036085,0.518898147068156,0.6955079883358297,0.36823102956059256,0.2157695169413998,0.38190256630222474,0.31987096220121547,0.317328649098439,0.35582613432074195,0.25406496527330436,0.155150898732691,0.27568302330934974,0.16454005661248888
Istambul-falecir1,2.1784046632754883,0.8047306598793225,0.8698633180786786,1.193157174115086,1.8509226121971096,1.001023382522961,2.08562448544906,0.8044804199557364,1.425970423739684,1.5507066973918067,1.9510868753755166,1.321319774287365,2.8167435114163846,0.7294694079760192,0.7945936532401016,0.9442574040806972,1.9619497671440347,1.1733381418687703,2.267790533265509,1.3434983020884315,2.9372584186563504,3.0993297134794306,3.5863666733568773,2.1314128445342466,2.6575619495253555,2.060661983815471,4.962457581815743,5.948093231010688,4.698246065830624,3.2128006904003685,0.6151100134401685,0.48473774788743407,0.2848101046146938,0.2518426665485635,0.6846469156582223,0.2630467698977845,0.44542073163704365,0.24940080263880363,0.14299326544671054,0.1451228138015217,0.5167260440534487,0.13719615438291327,0.6077918541130374,0.23253809235109157,0.1405726399437659,0.13801675005798958,0.7949011574131305,0.13314254238921983
Istambul-faledev1,2.449698325711669,1.2675609328891615,1.0515533041103828,0.714265738966244,0.8586889588526572,0.8451700067658074,1.9271040063659541,0.993212964225292,0.7595024990373078,0.5709661626913737,0.6615764633050297,0.7123749394596487,3.0282921320710634,1.3360335532426035,0.8074663565666764,0.494702649927239,0.7094908147572433,0.9853443914622741,1.7410135667868811,1.3519875095360956,1.7022575842657273,1.7194378232555256,1.221349767432517,1.0543450557348804,1.5958989818697307,1.6021612581514706,2.271754506813112,2.516475239893966,1.5938778390252368,1.2954096507863435,1.4290028621303612,0.8121128171402661,0.6597549372256746,0.48425079705071483,0.6685080067992437,0.47985115518338417,1.080652368749282,0.4660601479246424,0.3196092115074664,0.20908684341047604,0.36229026721664803,0.28348142960588224,1.3410710974032,0.5005643731245649,0.23463209307902388,0.14562804811291094,0.3734309388266874,0.30915851873557
Istambul-falekab1,4.0908938428635455,3.8916311606307312,2.4579064298625917,1.5389414389903677,2.3387531757119593,1.770236286070439,1.2163086646143664,1.339842127923088,0.8252241800871771,0.5576905457873849,0.8809321584924595,0.6383946853926635,2.08660505296021,2.218906187194089,1.4512767778988716,0.8998116871485895,1.4253073883272955,0.9832887275587358,0.9754756553579244,1.132916100453668,1.0774919138283667,1.1709262115973975,1.0926830013037772,0.7138337915156572,0.9404745125037006,1.3236952237782347,2.2461898781158998,3.2077262307607137,2.0516878649832466,1.2982570825487114,1.1124301373880656,0.8369483904671312,0.6415837045512128,0.4877452994987053,0.9276437595633801,0.45428065989728145,0.9792446689202325,0.4681573653292724,0.29238271753145045,0.24427385897907927,0.7916545200008248,0.2580516031779272,0.9407392302361764,0.30472081479698565,0.20196864694624125,0.21855221203648517,0.872466296141371,0.20407986318923046
Istambul-falfsev1,2.3864310880411015,0.5658913350367244,0.7880946253752307,0.8761032950142966,3.2370458316367245,0.568487184621729,1.233810499395162,0.2729545639853002,0.2984099034968008,0.312977814644601,2.004043919581702,0.23598181449642647,1.7316844819821184,0.4560070791635033,0.6372785226780305,0.6716898237320603,2.31939438100415,0.43459968087917866,0.9335816499771472,0.17658062233648864,0.18346982797468633,0.21299840334228134,1.3453289792488277,0.1306859035323268,0.8120074343534094,0.17961073094877505,0.17090372498937811,0.1779107498250519,1.238041261509451,0.13017278231393595,1.3996478328112056,0.21745104156705478,0.1381536329633024,0.13826659562616356,2.1201685503357033,0.1896718393479063,1.5752587103099123,0.21452999766517772,0.1513115376571932,0.1285534642511275,2.5193350812422826,0.1843835688749118,1.9463319063787086,0.2549769282014917,0.16048644045738591,0.13914356249886825,3.204011447289059,0.22713354515389964
Istambul-falgdon1,4.338965582830107,2.473486994252857,2.138904410077681,1.4371517594783074,4.845846236553263,1.5978632298528586,1.9069119102939356,1.3174447454805722,1.4057828508300179,0.8629841086747624,2.706709131870151,0.9011928413252541,2.0567791831640765,1.5041105002499484,1.372541528549666,0.8892733091414539,2.504296338823777,0.9519165584322987,1.7695169999549034,1.2338618717682486,1.1164000183090377,0.8606103496295284,2.8000103769832863,0.8119794193678437,1.1727225553719336,0.8570428234859727,0.8754179298337131,0.8093798421946855,1.804587382373104,0.6019404710859072,0.8035900235590757,0.51292870046055,0.4496453238507568,0.27804912457886055,0.9534045587591747,0.32206881509855434,0.6553801638889813,0.38271313132182766,0.2655720192263038,0.15681515706996046,0.6291313762162952,0.21824807079544825,0.4811517726274503,0.30042980106905365,0.19574311009498288,0.10961098674237059,0.47542968194113006,0.1556000573170027
Istambul-falherb1,3.6127714990722883,1.793246932954608,1.3425499720499934,1.495043228839131,3.1394858628045883,1.2554686453330415,2.142897658972582,0.8564961620696585,0.8707757838065012,0.8260453791906652,3.3486938189643722,0.9100735545979326,2.365903705833476,1.01285607882039,0.8732166382047234,0.9303410157966161,2.7322017191642134,0.85391310404679,1.8330098252396387,0.7633018116184379,0.9582879730352454,0.9880287846953739,3.1373537387886277,0.8126851343700822,1.636093044366819,1.0395149477864114,0.9508920157144004,0.7644777905524679,2.4569714732803947,0.7766255981545628,1.7520440325214812,1.6255968070902702,0.7908691188672383,0.4275772726768908,1.7594346362156137,0.820909806605746,0.584344671236532,0.44375523865721767,0.2134433272636736,0.15592062821144345,0.5626592132166901,0.2403525335252966,0.18119452435827196,0.15207614331908006,0.0885839157302512,0.07578727524617422,0.1666564462852861,0.0731830134607484
Istambul-falmasi1,2.031666576936919,1.8833726734429372,2.04289716139046,1.9027653552512496,2.7384464028814,1.049381351921248,1.0415840015880196,0.7446225052689498,0.9348118756005707,1.0343039953762097,1.6862315806587154,0.6118901453797183,1.2264041390867644,1.0271368263166774,1.1552407808308238,1.1039844686130564,1.645613049845522,0.6673463894752775,1.3268592311218865,0.8232733226690359,1.5726693995613004,2.5260554533700246,4.41252515771297,1.1139908430451637,1.5120937463931692,0.9039391101637838,1.9989071527664215,3.4324167868737345,5.205978219638626,1.4053531845823595,0.6406564212170263,0.2821222440264853,0.33064092232763,0.46146665072956006,0.9264141880698099,0.26693141973188866,0.8701882710576925,0.2586381049406131,0.2380008699688596,0.2699798493003002,0.9651625428062852,0.26001692047122504,0.8966368314011104,0.32055072074678376,0.2695601556052664,0.27388251398216523,1.0927182499858303,0.2796958692199751
Istambul-falmcek1,4.087740872458415,1.9057722029486464,2.1429381140026846,1.6474228892876899,2.681230178884013,2.9496766865339623,1.8768835701875577,1.8964443125872437,2.8581826021943084,1.6442005473145775,2.3246618977125006,2.333337807911865,5.138653792209394,3.3822170588006566,5.188346222820202,3.647286847262239,5.879401657492919,5.498404806624206,1.0651967692509905,1.1811242950253156,1.3112779250473008,0.716180623945843,0.9102392735228253,1.1410317934163423,0.617250407976786,0.666870896641277,0.6050448858649928,0.3739405025211316,0.45813274939081283,0.5045642787299451,0.5095581445446591,0.2896279211182631,0.25796533238686686,0.2903286052242975,0.3192343020951205,0.23986563474543163,0.5905131414803407,0.2192801842089967,0.21796277226205674,0.29109194383351944,0.27574884355810775,0.20664750776598803,0.4570407937430755,0.1781634437186085,0.1951659974763708,0.31214770814802023,0.260455321892606,0.1745369035535464
