,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Newcastle-53,6.129937999999999,2.1958675,1.0357025000000002,1.4042534999999998,4.0281025,1.715927,2.282337,1.310732,0.7554857,0.8759013,2.050592,0.7328542,3.25735025,1.5520875,0.7278865,0.9721441,2.091366,0.99587635,2.38922875,1.5590655,1.059751925,1.653348025,2.85233775,0.826794125,2.29112575,2.36650625,1.78431775,4.2438657499999985,2.5650405,1.110123875,0.8008838666666668,1.1182618583333332,0.6025046583333332,0.6159558416666667,0.6855414249999999,0.3118360166666666,0.5003314400000001,0.6178680200000002,0.333114195,0.22571356499999992,0.3817141599999999,0.16210746149999997,0.32646119,0.15300926499999987,0.1082597285,0.09219926500000003,0.2482426149999999,0.08354238550000001
Newcastle-54,1.7511457499999998,1.439666,1.17729325,0.9592638,2.1587395000000003,0.677801325,0.7834457,0.7692144,0.6744931,0.5117582,1.058744,0.3265974,1.38589525,1.402346075,1.20625,1.076201175,2.234175,0.6580507,0.65839,0.6501487,0.5741448,0.474632,0.8879486,0.2748241,0.6734899000000001,0.5675349749999999,0.4299753999999999,0.332365425,0.7366033749999998,0.24253382499999998,0.3352252833333333,0.2896713916666666,0.2049185083333333,0.16682659166666663,0.5905553083333334,0.09624732166666658,0.32148738,0.23100748,0.16111663500000004,0.14456331500000003,0.5937003049999999,0.08479675049999992,0.31566838499999994,0.1287503549999999,0.13175191,0.140266445,0.7318021349999999,0.061279027000000014
Newcastle-56,5.3071755000000005,2.11391,2.650499,2.0424,7.2917725,1.3959285,1.255601,1.173625,1.669843,1.22991,2.329373,0.7415404,2.881737,1.4590317499999998,1.957501,1.5982435,4.1054917500000006,1.03262455,1.4477082600000002,1.6939422,3.2080358000000007,2.6765504,3.3973298,1.16091716,0.73157885,0.980548725,2.293902,2.8261015000000005,2.20064725,0.8606177000000002,0.3051150833333333,0.488129525,0.6754638333333333,0.3764135166666667,0.49958166666666654,0.2032466666666667,0.19847525,0.23450129999999988,0.2991645349999999,0.1582673005,0.27762125,0.09932701649999989,0.150428345,0.076388051,0.0912303175,0.07713856400000002,0.19071234,0.0416680275
Newcastle-57,3.096034,2.8427715,3.47865,2.098035,4.964594000000001,1.16094825,1.155992,0.903383,1.138843,0.7595795,1.790815,0.5134121,1.4121008333333336,1.2316997,1.5161043333333335,0.8938122333333333,2.0980655,0.5694818666666667,1.594127,0.9477720333333334,1.553297,1.2983019666666669,2.976672333333333,0.8189472333333333,0.93971535,0.6436936000000001,1.10531285,0.8781407250000001,1.6194791,0.5459741,0.459081225,0.2750219,0.2562188416666667,0.22991983333333327,0.712095525,0.12093820833333331,0.5442585600000001,0.2525149349999999,0.22478108999999988,0.262579065,0.8951281049999998,0.123042595,0.5764531150000001,0.23068705000000003,0.18781871000000003,0.243950585,0.92008454,0.12077049000000001
Newcastle-58,1.3222742500000002,1.65479075,2.20563175,3.09977025,2.015142,0.94389905,0.69894475,0.92720125,1.3340165000000002,2.034767,1.1876995,0.6039663,0.9594229333333332,1.3420553333333334,1.832547,2.6456006666666667,1.702375,0.8196491333333333,0.59101605,0.8562004,1.155992,1.655083,0.9081266,0.4853874,0.5003337999999999,0.7089392,0.89336115,1.179584,0.7723577500000001,0.37054315,0.3648139416666667,0.7812454083333334,0.534925425,0.5336126,0.36861805,0.2441846083333333,0.329958305,0.7538094200000001,0.420377405,0.3665746299999999,0.29089414499999994,0.223647755,0.16980239,0.23082725000000004,0.2099794049999999,0.22969614,0.16977292999999996,0.08742650849999999
Newcastle-61,3.399229333333333,3.3525593333333337,3.656942333333334,4.351753,3.810310666666666,1.1559168666666666,0.9835958,1.121999,1.442374,1.278747,1.161521,0.561201,1.5398312500000002,1.66385975,1.8982715,2.00465375,1.68339225,0.655698425,0.9853191333333332,1.1032349,1.4637233333333333,1.2072436666666668,1.5149333333333337,0.5973365333333334,0.7110660499999999,0.88327035,1.22998575,1.0471957,1.136874575,0.484011825,0.2937613083333334,0.3006885833333333,0.3247645333333333,0.2901933583333333,0.3663073833333333,0.11741614166666661,0.251468875,0.16838086999999996,0.173051465,0.16972040000000002,0.3057259,0.07033818399999998,0.21828857999999993,0.1122368605,0.1266286099999999,0.13414616499999993,0.30193418,0.04967703549999991
Newcastle-62,3.7292930000000006,2.854807,2.808042,2.349626,4.064886,1.594056,1.567345,1.712009,2.470352,2.644594,2.69197,1.327094,1.3675543333333335,1.5094673333333333,1.8404845,1.7150265000000002,1.8625511666666668,0.9205226666666668,1.746608666666667,1.4768116666666664,2.2009946666666664,2.178946333333333,2.43657,1.2609461333333334,0.7276503,0.901665425,1.13383115,1.088963675,1.023274625,0.560324325,0.3284924666666667,0.364028225,0.31380947500000006,0.2582080583333333,0.431926225,0.1399137249999999,0.2901818749999999,0.27023840499999996,0.23844086999999992,0.192223745,0.364345795,0.102839945,0.268794035,0.2080469249999999,0.198134205,0.170600915,0.357369535,0.08362559000000001
Newcastle-65,2.873219666666667,2.0553993333333334,2.4245406666666667,2.444882,5.3655913333333345,0.9638738,0.7376633,0.6704887,0.9254957,1.099232,1.446194,0.4292985,1.222580525,0.972704075,1.2707015,1.551061,2.469195,0.6268221749999999,0.5788966,0.6162426166666667,1.1717542333333333,1.8214123333333336,1.5030271666666668,0.6495867166666666,0.4690024,0.67731995,1.7921407250000003,2.4060608,1.5515962500000002,0.941704825,0.2670685499999999,0.2590059166666666,0.381650475,0.4137266166666666,0.7595780583333333,0.14626714166666657,0.2323402,0.26806956,0.31450331000000004,0.2551084,0.68836384,0.1147924214999999,0.23282702499999997,0.12538652,0.16282099,0.18272900500000003,0.723139765,0.06357022899999991
Newcastle-66,2.769844,3.071705,5.055839999999999,7.128531000000001,6.405697000000001,1.40853,1.346489,1.756528,2.342681,1.704729,1.832923,1.149045,1.46559155,1.4448005,2.36851,3.2582382499999993,3.0066615,0.7757548,1.478311,2.5822746666666667,4.298163000000001,2.695798,1.9149056666666664,1.888627,0.65721365,1.078534425,2.1282888,1.6910052749999998,0.890237175,0.8221686500000001,0.16943282499999987,0.2452487416666666,0.26461074999999995,0.2512426083333333,0.254288375,0.100698755,0.10861836,0.10766451649999999,0.1205910799999999,0.127612015,0.16184096000000003,0.0447879044999999,0.09066817299999999,0.06828395200000001,0.08005928500000001,0.0922289215,0.14307286,0.028829306000000002
Newcastle-68,2.616889666666667,3.118949666666667,3.0737853333333334,1.9320303333333333,2.243275333333333,1.1001475,0.8483422,1.275657,1.248766,0.8310642,0.8004569,0.5385446,1.191220575,2.144757,1.8274172500000003,1.068479475,1.0359074,0.7541323499999999,0.611294675,1.11687225,1.65645875,1.4810845250000002,1.00592105,0.6546022,0.5586496750000001,1.0120173,1.4796655,1.062807525,0.883231975,0.5433510500000001,0.3801409,0.6936967083333333,1.3694040416666668,0.7378487916666668,0.6746183416666668,0.40457915,0.3465308549999999,0.3536605199999999,0.38413376,0.22964673999999996,0.6476191699999999,0.139491735,0.386265985,0.259591475,0.2663340799999999,0.1700615099999999,0.7050253750000001,0.10475151049999991
Newcastle-70,0.65877545,0.375323925,0.379734875,0.6229593500000001,1.1138043,0.20297242500000004,0.4689388666666667,0.3258675333333333,0.3547752,0.4668207333333333,0.8985814333333333,0.21969316666666666,0.41997445,0.28453107499999997,0.30169670000000004,0.4607064999999999,0.7526836,0.149478375,0.5090234,0.51606725,0.6562074499999999,0.9228564,1.2188995,0.345653,0.5830344749999999,0.4995996,0.6213436250000001,0.85874425,1.251109,0.30626472499999996,1.5146900833333332,0.4703111416666667,0.3955167083333333,0.3610472916666666,2.301782666666667,0.3016651416666667,1.63742285,0.39415157,0.274248675,0.22943482500000004,1.9122365,0.28576102,1.4467095,0.2815592999999999,0.20726062000000003,0.2202844949999999,2.03762355,0.23232917499999997
Newcastle-72,2.5141543333333334,3.150003333333333,3.2112673333333337,3.8266233333333326,4.729437666666667,1.2877308,0.691675,0.8639178,0.8852118,0.9465615,1.043864,0.3703812,0.940219825,1.245706,1.2211981,1.409903,1.51500225,0.49082585,0.5142467166666667,0.7502172833333334,1.00498515,1.4879723666666669,0.9138713666666668,0.4370340166666667,0.38022395,0.7050409,1.238349225,1.948275475,0.8758645249999999,0.525355825,0.2601444833333333,0.4543243166666665,0.5236960916666666,0.5184106916666668,0.4714280416666667,0.20221593333333332,0.24753067499999992,0.533324825,0.352679725,0.28909420500000005,0.3586482649999999,0.172947025,0.13836074500000003,0.18391385499999996,0.19563802,0.19318708999999998,0.256296135,0.071987193
Newcastle-73,2.390238,2.966394,2.655782,1.871384,3.6156879999999996,1.021469,0.8151906,0.8273844,0.9404951,0.687316,1.491323,0.3530729,1.483575,1.48091775,1.47690975,1.100696225,2.31304975,0.6088077999999999,1.39648702,0.82385076,1.2244312000000002,1.15034774,2.9240582,0.56035702,1.9606035,1.270996,2.2840235,2.3602397500000003,4.863757499999999,0.943700825,0.8442972916666666,0.9531087583333336,1.008125333333333,0.6363654500000001,1.5439074166666664,0.41852055,0.319356075,0.373422875,0.354602665,0.208795465,0.4930363,0.1527763375,0.08376822,0.11158944349999998,0.11629220399999998,0.08819152849999991,0.11392994599999991,0.0419999799999999
Newcastle-75,1.857975,1.13308,1.369706,1.979822,3.33671,0.7589196,0.4282459,0.446725,0.6496419,1.162188,0.7655511,0.30596139999999994,0.831177775,0.5099447500000001,0.689442025,1.061602275,1.248191275,0.3754578249999999,0.5949509714285715,2.0640150714285714,4.169831828571427,4.339386071428572,2.634002614285715,1.2345485428571428,0.691974725,3.206064525,6.800427,9.269219749999998,2.86819075,2.2256895,0.4716830833333333,0.701973025,0.747326,0.957685475,1.2175793333333331,0.32572455,0.503030815,0.5327792400000001,0.459967415,0.623073885,1.1209722599999998,0.24336758999999997,0.479830805,0.17522610499999988,0.22530604000000004,0.41067983,1.11418907,0.1276355249999999
Newcastle-76,3.090769666666667,3.655856333333334,3.471144666666667,2.872863666666667,2.6475036666666667,1.2351114333333333,0.6723326,0.8282324,0.905607,0.648203,0.6618984,0.27957570000000004,1.24767875,1.5200955,1.55134225,1.133798075,1.2193265999999998,0.502062975,0.599222075,0.7053229249999999,0.753180575,0.599020925,0.63550685,0.26378292499999995,0.490809475,0.5647318,0.60751825,0.4887744999999999,0.53245985,0.231408975,0.31566800833333336,0.4190163666666666,0.4100216583333333,0.2537749583333333,0.3131926249999999,0.1477170416666666,0.29137837,0.24348475499999991,0.23045141,0.16366790499999986,0.2628564949999999,0.09910943000000001,0.36961031,0.167124525,0.159836985,0.12918225,0.3250065099999999,0.08182532849999989
Newcastle-77,1.829042,1.1109422,1.04786845,1.0777609,2.1959405,0.59376715,0.3824219,0.4787882,0.4508,0.3753996,0.4976441,0.17198999999999998,0.7815800749999999,0.574944175,0.54361,0.5454565250000001,0.946935925,0.266120275,0.37268882,0.84754898,1.05921634,0.9787864200000002,0.4990680799999999,0.34693012,0.441318125,1.654294925,2.0743847,1.5662976,0.5595111500000001,0.5155017749999999,0.8322066666666667,0.3201213916666667,0.3350220083333333,0.232551225,1.226543258333333,0.1785252333333333,1.1561838,0.29816621,0.2464528,0.171342205,1.50868795,0.20231891500000002,1.3909783,0.25388741,0.192773865,0.1477280449999999,1.8123437,0.22088505999999997
Newcastle-78,2.5086335,1.0650263,1.0003693,1.5374465000000002,2.081925,0.7731367,0.803942,1.123296,1.206098,1.234198,0.946215,0.4658483,1.0474626333333334,0.8573294166666668,0.8669075500000001,1.0828820666666668,1.0087374666666669,0.4383403333333333,1.581785057142857,4.496117714285714,5.161717999999999,6.390145,3.078561571428572,1.8229204285714289,1.302850925,5.851996000000001,6.2994717499999995,11.450023250000001,3.31842075,2.24211765,0.5101079416666666,0.9637761583333332,0.9958141500000002,0.9643067333333334,0.7240711333333333,0.336872775,0.167427305,0.22050943499999998,0.2352176099999999,0.2661694999999999,0.24983600499999997,0.08524378949999992,0.09617860449999999,0.08399892799999992,0.090604508,0.09472950549999988,0.16644851499999994,0.033502063000000006
Newcastle-80,3.5044864999999996,3.8583314999999994,3.2011805,1.968052,2.937263,1.506549,1.130204,1.310662,1.014254,0.6965488,1.346613,0.6034535,2.4258847500000003,2.0642370000000003,1.6883985,1.1175647,2.62245825,1.129316225,1.7938623333333334,1.4655399999999998,1.4746023333333331,1.429183366666667,3.0100306666666667,1.1877988333333334,1.7093425,1.32418075,1.552134,1.7649210000000002,3.357944,1.26999395,0.3725703666666666,0.4707336666666666,0.4385779666666667,0.281255025,0.400120925,0.18949518333333326,0.200465085,0.367055345,0.27080055,0.17495246499999997,0.2346064749999999,0.11150150649999989,0.16585748,0.19871869,0.18765555500000003,0.14485584,0.19405707499999988,0.0705465835
Newcastle-81,2.134762,2.1323285,1.3100565,0.764271725,1.451895,1.053888725,0.5586902,0.6097299,0.6454105,0.4605162,0.6521527,0.3330328,0.82870485,0.802914925,0.691800425,0.474345425,0.7114284499999999,0.4367645,0.5440391499999999,0.60315195,0.7568208000000001,0.7094840499999999,0.8543043,0.4294594499999999,0.43491795,0.570257625,0.8909275750000001,0.91466325,1.022935075,0.4430417,0.393011725,0.2406729666666666,0.21177125833333332,0.17429535,0.8128761,0.10928291166666661,0.41108236,0.176561855,0.1619790649999999,0.14617985,0.8141958899999999,0.09314094299999999,0.54063916,0.16349559,0.16555880499999998,0.16902957500000002,1.1248973999999998,0.10170237050000001
Newcastle-82,3.026075333333333,2.817966,2.7701273333333334,2.861849666666666,2.8570876666666667,1.468821333333333,0.7567025,0.9728667,0.8915026,1.001173,0.8468902,0.4392005,1.079803725,1.19872165,1.23821035,1.19267065,1.116770175,0.583195475,1.4432127600000002,1.5262903,1.73190206,2.0462465199999995,2.4639364,1.06272012,2.0707435000000003,2.64434975,3.46967375,4.1538385,3.5933230000000003,1.8449500000000003,0.4652343583333333,0.6999721083333333,0.6823608,0.4466046166666668,0.6802136916666667,0.28184092500000013,0.2764813899999999,0.33277541,0.29870399500000006,0.20524445500000002,0.44967042,0.126578996,0.196921595,0.15512752,0.15277208000000003,0.13695604499999997,0.35428992,0.0659711845
Newcastle-83,4.1782255,2.971634,2.6266905,2.9115805000000003,4.567945999999999,1.3213695,0.8090166,0.6705301,0.7999274,0.9518585,1.332835,0.3476376,1.4628724833333333,1.2359049666666668,1.1259159666666667,1.1778371333333333,1.641375,0.5168406833333333,1.3471026666666666,0.8364304666666666,1.3241690000000002,2.1177883333333334,2.5174886666666665,0.6557211333333334,0.557843375,0.4437393,0.5954182,0.8483513,0.923765875,0.2742206,0.4805665583333334,0.24908382499999998,0.24905544999999993,0.2673153499999999,0.6654050833333334,0.1351781416666666,0.50260977,0.20200477,0.17462823,0.19443491999999998,0.6532603249999999,0.1165881949999999,0.523948595,0.16845198500000003,0.1315691,0.15093339999999994,0.660462585,0.10304402800000001
Newcastle-84,2.293451,4.469968,6.2712485000000004,2.691485,1.5409455,1.654151,0.2948756,0.7119876,0.9625298,0.45401199999999997,0.2863095,0.23978249999999998,0.798976525,1.8921245,2.72319025,1.207686,0.613677025,0.6686175249999999,0.29057762857142844,0.6736101285714285,0.7984643714285715,0.4559690714285714,0.3736907285714285,0.2588759285714286,0.2787595,0.6027492999999999,0.676626975,0.474413175,0.477704025,0.259901225,0.2371527666666667,0.47235547500000014,0.3471400416666666,0.23623665,0.3242681583333333,0.1638642666666666,0.24605087500000003,0.482100065,0.26115027,0.186195045,0.307552585,0.1541843125,0.16557902,0.19663400999999997,0.1513790249999999,0.12546995,0.23242281999999997,0.07363817149999999
Newcastle-85,2.306216,3.4254699999999993,4.275854,3.076427,2.352588,1.117611,0.4434535,0.6993628,0.8427005,0.6602162,0.6879954,0.25045220000000007,0.94878145,1.323823775,1.59626475,1.2916151500000002,1.045822075,0.47738335,0.5647987000000001,0.7606963,0.937868925,0.8780566000000001,1.16318855,0.343003625,0.57752165,0.935815025,1.190766025,1.0870042249999998,1.6639353,0.4745469499999999,0.9423175,0.5764670833333333,0.48267105,0.3407965833333333,0.7445033666666666,0.24236669166666663,0.906669865,0.56003923,0.401140415,0.25672849,0.675186955,0.2188315099999999,0.8543477600000001,0.6334460800000001,0.5853678450000002,0.31006701,0.6920824000000001,0.19058927000000003
Newcastle-96,5.329982499999999,1.3529152,1.1397854,1.0880688,4.722205,1.1838369,1.076614,0.6025791,0.9918708,1.212481,2.249786,0.457208,1.5349005,0.5030599833333333,0.5697976666666666,0.6400591666666667,1.8826321666666663,0.4072994666666666,1.1585986666666666,0.6497166999999999,1.32348,1.6641993333333334,3.195628000000001,0.5699019333333334,0.8345729,0.4509747,0.794181875,0.964406875,1.639703,0.364392475,0.5127858583333332,0.23128922499999993,0.1845094666666666,0.1716302583333333,0.6915027333333335,0.1219506583333333,0.6372205799999999,0.13898293,0.12149697550000002,0.1488230075,0.8553626600000002,0.10866690249999998,0.72907928,0.11355257750000002,0.1176231745,0.17456859400000002,1.032412325,0.1135433299999999
Newcastle-97,5.711649,2.551278,2.37848,1.29259,4.242531,1.453338,0.6788898,0.3867499,0.4408013,0.3004149,0.5564017,0.24246039999999996,2.226902,1.0194482500000002,0.96386195,0.513211125,1.54267305,0.6014295,0.7191624,0.33965206,0.43238892,0.3868088799999999,0.6259332,0.2716716,0.540807275,0.23826085000000002,0.3116629999999999,0.305853725,0.473144625,0.20467867499999998,0.6989599416666666,0.1568707833333333,0.1500601833333333,0.1552485916666666,0.7711516833333333,0.1434450916666666,1.090067165,0.16973454000000002,0.137077965,0.173130405,1.154298045,0.193341945,1.34092138,0.1646751249999999,0.122617045,0.18391823499999987,1.40989625,0.215764575
Newcastle-98,4.344776,1.584312,1.4962865,1.6195785,3.3812039999999994,1.2278834,1.147491,0.6969274,0.9019463,0.9071623,1.425946,0.5179272,1.3919638333333333,0.7861377333333334,0.8663007833333333,0.9079551333333332,1.4514563333333337,0.4984133333333334,1.6221565,0.9381638333333334,1.7671746666666668,1.9973791666666667,3.2050425,0.94931205,0.946049475,0.746822175,1.423088775,1.8004886999999998,1.8365425,0.689835175,0.5215852666666666,0.3279614583333334,0.3772683916666666,0.3381683666666666,0.8764333333333333,0.17657493333333332,0.509902905,0.23652484500000004,0.24072789999999997,0.20094428999999997,0.87899432,0.129552225,0.4536058649999999,0.16485871999999993,0.18020324000000001,0.16213082,0.78845254,0.09974125200000002
Newcastle-100,3.217004,2.4206165,3.1371825,2.105057,3.1404635,1.2404163,0.9300064,1.081549,1.440529,1.0495,1.108879,0.6826524,1.3075778999999998,1.0457902166666668,1.2658186833333334,0.8708277,1.2078703333333334,0.5664106833333333,1.2736156666666665,1.8578906666666668,4.244693000000001,3.675888000000001,2.309155333333333,1.7818403333333332,0.9690551,1.80607925,3.542006,2.46313025,1.66351675,1.4080896500000002,0.3637647833333333,0.3775413583333333,0.3779721,0.22243885833333332,0.2978184833333333,0.1770819166666667,0.326866075,0.15629986249999997,0.13369969550000002,0.1117680509999999,0.3313848599999999,0.07943955500000001,0.27430283,0.083905283,0.077640052,0.09851409349999997,0.23760965499999992,0.05552592449999999
Newcastle-101,1.286188825,2.8803345000000005,2.363658,1.4870017249999998,1.78273625,0.76810255,0.3462301333333333,0.7781668666666667,0.6934565666666667,0.4804979,0.5079692,0.2188850666666666,0.521168525,1.147545775,0.991634575,0.651102675,0.782622225,0.3179558249999999,0.25349845,0.58444425,0.49537695,0.3209235,0.41492505,0.16002329999999987,0.2318989249999999,0.4646801,0.39235105,0.283155275,0.344574125,0.136050025,0.15639873333333332,0.2343658499999999,0.1975319166666667,0.1436282499999999,0.31109175833333325,0.0695029908333333,0.13853298000000003,0.157635615,0.139414455,0.1068370864999999,0.35100233,0.049662579499999984,0.136606455,0.1151722039999999,0.09989526600000002,0.0825827755,0.340596735,0.0392069505
