,pred,true
Newcastle-53,2,0
Newcastle-54,0,0
Newcastle-56,0,0
Newcastle-57,0,0
Newcastle-58,0,0
Newcastle-61,0,0
Newcastle-62,0,0
Newcastle-65,0,0
Newcastle-66,0,0
Newcastle-68,2,0
Newcastle-70,1,0
Newcastle-72,0,0
Newcastle-73,2,0
Newcastle-75,2,0
Newcastle-76,0,0
Newcastle-77,0,0
Newcastle-78,2,0
Newcastle-80,2,0
Newcastle-81,0,0
Newcastle-82,2,0
Newcastle-83,0,0
Newcastle-84,0,0
Newcastle-85,0,0
Newcastle-96,0,0
Newcastle-97,0,0
Newcastle-98,0,0
Newcastle-100,2,0
Newcastle-101,0,0
Newcastle-102,0,0
Newcastle-104,0,0
Newcastle-106,0,0
Newcastle-108,2,0
Newcastle-109,0,0
Newcastle-110,2,0
Newcastle-111,2,0
Newcastle-112,0,0
Izmir-13,1,1
Izmir-16,0,1
Izmir-17,1,1
Izmir-18,1,1
Izmir-21,1,1
Izmir-22,1,1
Izmir-23,2,1
Izmir-24,1,1
Izmir-26,2,1
Izmir-28,2,1
Izmir-29,1,1
Izmir-30,2,1
Izmir-31,1,1
Izmir-33,1,1
Izmir-34,1,1
Izmir-35,1,1
Izmir-36,1,1
Izmir-38,1,1
Izmir-39,1,1
Izmir-40,1,1
Izmir-41,1,1
Izmir-42,0,1
Izmir-44,1,1
Izmir-46,1,1
Izmir-47,2,1
Izmir-48,1,1
Izmir-50,1,1
Izmir-52,1,1
Izmir-87,1,1
Izmir-88,1,1
Izmir-89,1,1
Izmir-90,1,1
Izmir-91,1,1
Izmir-92,1,1
Izmir-93,1,1
Izmir-94,1,1
Izmir-95,1,1
Izmir-113,1,1
Izmir-114,1,1
Izmir-116,1,1
Izmir-117,1,1
Izmir-118,1,1
Izmir-119,1,1
Izmir-120,1,1
Izmir-121,1,1
Izmir-122,1,1
Izmir-123,1,1
Izmir-124,1,1
Izmir-125,0,1
Izmir-126,1,1
Izmir-127,1,1
Izmir-128,1,1
Izmir-129,1,1
Izmir-130,1,1
Izmir-131,1,1
Izmir-132,1,1
Izmir-133,1,1
Izmir-134,1,1
Izmir-135,1,1
Izmir-136,2,1
Izmir-137,1,1
Izmir-138,1,1
Izmir-139,1,1
Izmir-140,1,1
Izmir-141,1,1
Izmir-142,2,1
Izmir-143,1,1
Izmir-144,1,1
Izmir-145,1,1
Izmir-146,1,1
Izmir-147,1,1
Izmir-148,1,1
Izmir-149,1,1
Izmir-150,1,1
Izmir-151,1,1
Izmir-152,1,1
Izmir-153,1,1
Izmir-154,2,1
Izmir-155,1,1
Izmir-156,2,1
Izmir-157,2,1
Izmir-158,1,1
Istambul-alzhay1,2,2
Istambul-alzhpeh1,2,2
Istambul-alzmsap1,2,2
Istambul-d1kyil1,2,2
Istambul-eoabob1,2,2
Istambul-eocars1,0,2
Istambul-eoeakt1,2,2
Istambul-eofyil1,2,2
Istambul-eohboz1,2,2
Istambul-eoherk1,0,2
Istambul-eohuzu1,2,2
Istambul-eoibal1,2,2
Istambul-eomrus1,1,2
Istambul-eomtyil1,2,2
Istambul-eomyil1,2,2
Istambul-eosbar1,2,2
Istambul-eosber1,2,2
Istambul-eoskap1,2,2
Istambul-ergoz1,1,2
Istambul-falames1,2,2
Istambul-falcehl1,2,2
Istambul-falecir1,1,2
Istambul-faledev1,1,2
Istambul-falekab1,2,2
Istambul-falfsev1,2,2
Istambul-falgdon1,2,2
Istambul-falherb1,2,2
Istambul-falmasi1,2,2
Istambul-falmcek1,2,2
Istambul-falmdem1,2,2
Istambul-falmedi1,2,2
Istambul-falmgun1,2,2
Istambul-falmozb1,2,2
Istambul-falmyil1,2,2
Istambul-falnpos1,2,2
Istambul-falnsez1,2,2
Istambul-falrakk1,2,2
Istambul-falscan1,1,2
Istambul-falserg1,2,2
Istambul-falsgul1,1,2
Istambul-falskar1,2,2
Istambul-falssah1,1,2
Istambul-faltkar1,2,2
Istambul-falyedi1,2,2
Istambul-falymem1,2,2
Istambul-falzbil1,2,2
Istambul-falzsah1,2,2
Istambul-febuyig1,2,2
Istambul-fesbek1,2,2
Istambul-feykar1,2,2
Istambul-fhtun1,2,2
Istambul-fmcimtas1,2,2
Istambul-fpdemryal1,2,2
Istambul-frekakt1,2,2
Istambul-ftdhaka1,1,2
Istambul-ftdnbob1,2,2
Istambul-lathusev1,2,2
Istambul-latnurkı1,2,2
Istambul-latvekul1,2,2
Istambul-paarı1,2,2
Istambul-pacik1,2,2
Istambul-pcaka,2,2
Istambul-pccak1,1,2
Istambul-pcgul1,2,2
Istambul-peakk1,1,2
Istambul-pegun1,2,2
Istambul-pfdum1,1,2
Istambul-phber1,2,2
Istambul-phbic1,2,2
Istambul-phcet1,2,2
Istambul-pisog1,2,2
Istambul-pkbay1,2,2
Istambul-pmyel11,2,2
Istambul-pnakt1,2,2
Istambul-pndon11,1,2
Istambul-pnkok1,2,2
Istambul-pnsog1,2,2
Istambul-pnusa1,2,2
Istambul-podog11,2,2
Istambul-psgul1,2,2
Istambul-pssen1,2,2
Istambul-pssog1,2,2
Istambul-psyil1,2,2
Istambul-pukab1,2,2
