,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
BrainLat:AR-sub-10002,1.0088108287162796,0.9872495439910305,1.1548288061210248,1.0855647386254512,1.68973865270725,0.46807466330716685,0.47506376118600585,0.43707741617155876,0.5147928383202478,0.5037453079000667,0.7161898108854053,0.25775524796844457,0.6196467081141852,0.5940402048665305,0.6610441202974306,0.6363157933123978,0.9310077754447507,0.3098222491347327,0.5743401188975341,0.6186069448948939,1.1450364236731263,1.863262931168035,1.2842383292827326,0.5669143293652263,0.5744623292610673,0.9737075167850183,2.742600909049642,5.485703336097588,2.1920225627630114,1.191824085702559,0.48745104668826406,0.6280928102049118,0.6986632417945854,0.7576206041598655,1.401320504056326,0.285679980344095,0.7559382184489264,0.8189519234545736,0.521738779851601,0.5124323629965122,1.9812476043830254,0.23066085317139426,0.6930026938179298,0.564844431603053,0.3433175667830261,0.361239987384378,1.7870308420540972,0.1728687318215811
BrainLat:AR-sub-10003,0.9089583981350042,0.7577022525419993,0.7606659013505239,0.7236636576544069,0.9908166910530807,0.4230264360663562,0.44333241136510576,0.261473311387084,0.2621941493422576,0.2336502194634871,0.35360683524818015,0.2000371299629977,0.552534749805293,0.39020445867672787,0.3841440612409071,0.3495903449483752,0.5193024871653138,0.25727568952906266,0.5261577029515174,0.24936392332030657,0.27073748918982604,0.220390009744188,0.40694535468012893,0.22727677644823274,0.8949939400133863,0.3340903642474926,0.44064592363026045,0.3353530239865828,0.5322325765268988,0.34245729192460145,1.9682961164024653,0.3323889781042751,0.23981044660134063,0.15714975195485856,0.5242482927585426,0.49333354284454267,3.9463026430251587,0.45897368169217106,0.23164172817716625,0.13462001643589214,0.7083263176916695,0.9548185031216472,3.0016236383281867,0.27970509427062473,0.14133973134953445,0.09321625488422626,0.5526461236083123,0.7030053548048545
BrainLat:AR-sub-10004,3.2586654770419754,4.92323236700035,3.268311898597164,2.4515571052497793,2.978153441569244,1.715800879698921,2.228336621534759,3.414832453576188,2.1693470388118277,1.6185010285011545,1.9246068998519141,1.2380416668706113,2.936240409469614,4.3496497085942565,2.7814664786552172,1.973861531121125,2.430264881034134,1.5764891864884374,2.067258032739803,2.625215256625727,1.8912032818813698,1.8950163607564676,1.9025726439689365,1.1484285836190244,1.754995093959529,1.8264525652283061,1.291508752903743,1.4179456422141627,1.5233112185707498,0.8320263102458827,0.8348713567734161,0.7578200952217385,0.5220791340224176,0.45590293073911753,0.6083006221560282,0.3539656923359298,0.6669330352895917,0.5041200983136667,0.30831848469106893,0.2341651334352948,0.40924536544165524,0.25890335174081597,0.49051931278323607,0.21955375304443048,0.14440323555954304,0.14321593306507202,0.3102239932864964,0.1551136207435306
BrainLat:AR-sub-10006,2.798770954016481,1.3181276498084347,1.3088874202695364,1.6180337760053032,2.2976602124304857,1.395136629580999,1.7241415944233325,1.2108417375784803,1.8829703558489057,2.6774252106008025,2.1351629427142425,1.3408129809474767,1.8640131431250335,1.022120856578377,1.17498413748807,1.5835994968150222,1.6030770363647946,1.0579361747939222,1.7954111167724756,1.4801343385804007,2.9322391172896602,4.227954459285626,3.283560506943996,1.7700715514732368,2.105340288004469,2.2694640504582426,4.132850179698706,6.1645617531924595,4.801875884621256,2.4418914905449656,0.8205771038035459,0.5500508547696467,0.6120407208326782,0.6861332620576512,0.9104888716502306,0.438196745126693,0.6002498320306104,0.37732806455046447,0.3291404466474827,0.3420466707314897,0.590480343550898,0.26629856549980224,0.49673484065816864,0.21482131077844555,0.17414491305595098,0.18135101684207947,0.4619835401663261,0.16628380535401982
BrainLat:AR-sub-10009,2.1667129096241995,1.0874659594327338,1.2679888720586843,0.949509714041146,1.6008030173784906,0.9674593001446161,0.8158939392486523,0.7781767364068749,0.7298727397368467,0.7081121788646009,0.8745047591993936,0.5715608085758062,0.927843102532251,0.6537022138470315,0.5925123166815887,0.5253473866247449,0.8202554057510398,0.49405850198362256,1.1033039381333387,1.4440195179831001,2.1329769973715806,2.7524618985940235,2.3344474104226305,1.275174722496067,1.3616113013933169,2.3773299215873944,3.0498650458032484,4.127965710000422,2.768037573212778,1.7974274777240202,1.4641600946187607,1.692030745205427,1.2965957291928294,1.1111921994422116,1.559248219838156,0.9645427078742334,0.7350769674920307,0.6033868534332338,0.36183840490765046,0.2634628166285669,0.548214819863117,0.3583880337491943,0.3481529676340939,0.17115061883117919,0.12532180028862644,0.1188416431399355,0.3349350437016604,0.12519190675583194
BrainLat:AR-sub-30001,2.516037308203182,1.2366417991650716,0.9280742803147338,1.1827497391416786,1.2953924240506598,1.1133362696526614,1.216055834697413,1.1945492035454237,1.2416226670282622,0.9975273455722534,1.2601751981446734,1.057998491909141,1.7285101713702804,1.0245741854420674,0.7861381131835102,0.754681011138537,0.9245254180595979,0.8964933381126603,1.475449155229443,1.780754920612837,1.7921536224032752,1.268524567079393,1.7086884516623535,1.4216569376372352,1.442294466236444,1.560921982984091,1.6322392275870174,1.242947005159215,1.0933741347576835,1.2057768783090004,1.024601220907111,1.1060571009724731,0.54903409411841,0.30908219032464307,0.8451763143636047,0.4345140365759633,0.8012406702353598,0.7668904076280699,0.3407720122086281,0.20375414380773132,0.7509666988718643,0.28409382803282485,1.1411723881272957,0.712947693852821,0.3287114411765947,0.2076816679500696,0.9987631662619064,0.32893871973826966
BrainLat:AR-sub-30004,5.269152568709151,3.7382575121314643,2.0905081150585603,1.3471040291596297,2.774043669720165,1.8790679837469662,1.9721422067594874,1.42698552193483,0.8845101496552253,0.6269706712308383,1.0329769594716292,0.7563938656363445,3.000366806263498,2.1840265675843744,1.33711171979308,0.9590828826469575,1.5890302797254932,1.135969147203728,2.2304488228620514,1.4574098025867674,0.9546186754580767,0.6767599519436828,1.3803122954386435,0.9928254370863988,2.5661861315662087,1.9813280396426982,1.185862687429858,0.7000238504315264,1.833265190605504,1.2550606086936877,0.714910512998599,0.5292430946256818,0.3553770827323504,0.2559794598061241,0.6597096375674543,0.2873451593564001,0.4090235814415203,0.2920422690411693,0.19384278932172036,0.16265392540933837,0.44521781079478373,0.14881666024936127,0.35901503378912814,0.2060744705564868,0.14061569756775422,0.13719041917154376,0.4711238217611013,0.10815604662797619
BrainLat:AR-sub-30008,2.2680446731479753,3.593308000408681,3.387935135437979,1.6824925160651376,2.269156811227546,1.1162887702196937,1.3662486756906316,1.8904591819661347,1.7266396753278808,1.0341359045380711,1.4677150727203903,0.8117549847039909,1.5495557024660596,2.387010421202182,2.0243633680610316,1.0274509462006505,1.5032289914458234,0.8232182563827828,1.6273066850467097,2.1218625090656986,2.971914262155841,2.356153726347168,3.2206307391398425,1.6017392126797863,1.9734285662632935,2.924054861908981,5.2639861457165535,4.994360202342619,5.740051287700384,2.8980486958764113,0.5869619862034717,0.5310572128808226,0.5170906808717052,0.4168873740174337,0.5638412903901369,0.32465172488258065,0.42161666584845137,0.31951280531977194,0.25600832475549024,0.270009784797728,0.3817322680924889,0.18836373702254772,0.3588249959064063,0.21107692205294804,0.17383729016217,0.2382570149351036,0.34158368356054014,0.14467925999483913
BrainLat:AR-sub-30012,1.2635076447322482,1.2751265359268222,0.8788820683126737,0.6008064976175487,0.7467651298179352,0.7665580296471901,0.9879360584749928,1.1837579654663248,0.810960612921934,0.5326764324266445,0.6603989144442683,0.6591845863016752,0.9649456050561617,1.1314859043758996,0.7747788974768823,0.5142881876154995,0.626087617474028,0.6413654936277798,1.2231258439488093,1.5755972896804367,1.1683395615726482,0.9276141808447702,1.1977910792020796,0.8654868037876763,1.294534814524045,2.156073490941958,1.7027265069436082,1.5470278458792572,1.3887692762071748,1.0330378224957701,1.1758525589104671,2.169709102162732,1.3889413071443841,0.6610985742431117,0.9730641881280742,0.7886565385872811,0.6835512467753488,1.050878887626693,0.6232437846162029,0.34484502919748145,0.6632729017899032,0.398858214161676,0.41015611453824546,0.5158789223402765,0.3343647731757163,0.2373613073595197,0.5215335119307632,0.23057151359177655
BrainLat:AR-sub-30015,2.5621401146622933,1.622604368710107,0.8594270336135807,0.8657624600793561,1.899523004155004,0.9175249855724892,1.0201689256148272,0.7084767294366713,0.493207189191025,0.49628546774172655,0.9832265551141959,0.4301817698015187,1.312879893085926,0.8128626906160032,0.4792773608958801,0.48951639460388674,0.9455449335451538,0.4928806529082109,0.986424636696283,0.8233503083882081,0.7689119269255205,0.7302265312260018,1.2646022270510169,0.5316974059152385,1.156693162488708,1.3226437481863544,1.6489210162106365,1.8986846627887868,1.5944283768398466,0.941017073660015,0.6932589671191397,0.6137228194541702,0.5118962085247606,0.5331529159230598,1.0010211625537082,0.31572269038184797,0.5907789830708452,0.4934606206179233,0.308356021426959,0.31590067418135126,0.7767586215824902,0.2254094518813289,0.5409246510990138,0.40258858173088,0.23836989302777356,0.2870966081015334,0.8469143121908376,0.1803477477466971
