,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
BrainLat:CL-sub-30003,0.49649143866574263,0.5210788496056817,0.6010959899347976,0.5677408748775057,0.5412754635271058,0.26682103050719436,0.3976263226330692,0.3778088850203241,0.42315795625068353,0.39236273800390803,0.4644713160904014,0.23778145779768287,0.35400189130051996,0.37579092146734405,0.4296554802375241,0.3950686815846099,0.3974155586928975,0.2053893073966121,0.5638515419975619,0.4812651511295379,0.7018441754553709,0.9042115604385698,0.8665818789939908,0.40496081107689313,0.8238765839760931,0.6009469810727225,1.2177661976458793,1.8315255236496013,1.263308258022595,0.6938409719284728,1.2695883589168133,0.7313514916102365,0.4065928986186283,0.31070007411597794,1.4431301224543478,0.38513483182607133,1.3838918446916013,0.7606408253307212,0.35984557316917687,0.25256407953023347,1.4298579016478674,0.39540395098781095,1.7502872480198304,0.6983916722090602,0.3658451867134627,0.28326352491237855,1.9116813902051624,0.42950707232127705
BrainLat:CL-sub-30006,1.5041142517502273,1.1880966895473108,1.5295892432218612,1.602534386077779,2.121924388081778,1.2364111451012745,0.9995366672917821,0.9129899371177339,1.085186148233574,1.033331120756583,1.6305984354715515,0.8429362221328143,1.1191098392305006,0.9767433395171058,1.1898850347258225,1.1611539397952302,1.6986298158534399,0.9754592484446314,1.0463563511347358,0.8990575586019611,0.8966971617770375,0.7949133847472336,1.422322112616985,0.7331417471893452,0.9514987182959859,0.6370372390597205,0.6058519499942607,0.5508749065737475,1.0504502264965543,0.5461328061907117,0.7400183807869407,0.496501474099943,0.34567526558656103,0.319893223994954,1.0063150878127196,0.28741849600639774,0.8496521780192929,0.4590615848874896,0.25961526247874767,0.22812149670213405,0.9310102362758916,0.2707431041739393,0.9102481296505092,0.4104694262567973,0.232504408608,0.2046030635355658,1.0530776910907482,0.2521016873800358
BrainLat:CL-sub-30016,3.002852144446756,2.0907184209198877,1.53127308114394,1.4598079393285004,2.221498280717867,1.268635079882949,1.6019494596328396,1.2392677799097216,0.965062516455641,0.9006688853017,1.3025334151187526,0.7777559496545052,2.0084075640420576,1.5081640898152096,1.1484824195321872,1.0408805751015262,1.5412409225196502,0.9124520246994157,1.6978324272283574,1.189269230502856,0.9620209569596877,0.9195607519850832,1.3229525377864895,0.8062926523152968,1.311857233219427,0.7846898310527379,0.6364712165647423,0.6730219045039646,0.8821710244656067,0.5912118230154739,1.02793527446665,0.4368874674472417,0.3225548106133582,0.3603120593883024,0.7574512617658202,0.3600935675690052,1.0637511469551706,0.42521641771744234,0.29592970085938125,0.36507549417823515,0.7858508139383144,0.36162482016193687,1.1520428268538239,0.3593615032091745,0.2445668592791168,0.32754933198170055,0.828376555304068,0.3536081070421651
BrainLat:CL-sub-30019,3.253513273343558,2.0927008544787973,1.080215959528142,0.9094113108420864,2.0422248252667967,1.3304066346090293,1.5818900047815654,1.0785885129264527,0.6834079676015925,0.6241266891382106,1.2689780752598483,0.7384540834217874,1.9437635486114209,1.294041016616481,0.7018498774662479,0.5701309655215425,1.2497151883527302,0.8313528739396626,1.8421269477020035,1.243668819822959,1.3758095720617345,1.8204200406311064,2.49041432117227,1.1381609160517707,1.5979021199176273,1.2003942000980286,1.921776866798233,2.5968236157339857,2.850171540392478,1.3205168439910295,0.8974360554178799,0.591390964677075,0.39323483457885494,0.3750136269991199,0.8973370159352952,0.3607776895526008,0.7965993009960639,0.4725479894207492,0.2401142625964995,0.20621907753327912,0.6867608424554615,0.26750839433341583,0.7356149484011076,0.3651081237293378,0.19592746947717057,0.1744407085185297,0.7457821919637172,0.21391730380095114
BrainLat:CL-sub-30021,4.838844021538454,2.44923299963666,3.5208024581145163,2.835874082779426,3.6115027820968573,2.1555604308651306,3.4610912111395,2.5887950112134552,3.114017994301378,2.4485188389371473,3.5602809363123087,2.4637459205538716,3.020985923426923,2.191488483677965,2.826104481424455,2.216432242346432,2.6018641897921513,1.7344757991283435,3.0259823138489907,2.3918092452315425,2.9233657332538585,2.3492670209464883,3.3410020795074926,1.9563464988080688,1.9220606216784126,1.6182111198388693,2.1828749945966446,1.9810517743544396,2.209612011993792,1.3041157641092473,0.5033360410328044,0.3805316375661914,0.4697095682624928,0.37576531353446224,0.40670931025031387,0.23796433850405524,0.3911511839565267,0.25945517096188253,0.2555315633200097,0.20019568247815372,0.2618813816231617,0.16384862331496267,0.27285313524914073,0.1485132734271403,0.14303051023544736,0.12844351503037804,0.2074892515276694,0.100380294778091
BrainLat:CL-sub-30023,2.991360631398984,2.87122266778668,2.917746144831183,2.9611847065405748,4.40503969634451,1.2545735527211705,1.6516526604006507,1.7341088220053158,1.6487998101385193,1.7075511812518935,2.8639572735054255,0.9086044775869639,1.9988668158925869,2.070281667422288,1.8985740910522775,1.8517104544287462,2.968676570456415,0.8649193123734604,2.5410130310287466,2.7812341450072053,2.6207705188926376,2.589989957177433,5.323422519655388,1.648127151768289,1.697279210343533,2.307239361935526,2.983056284179809,3.043321430166495,4.570440298288326,1.5080315659302692,0.5501261623143923,0.5369851866686687,0.5171919505174293,0.5601320386041426,0.665288083193566,0.2852497845959056,0.40953199571473775,0.2576762929442686,0.2336600177954553,0.3363122052605282,0.37431893799588123,0.1642799948633606,0.43173525448235656,0.20107713815443118,0.15698778215486697,0.265781898773192,0.33952337987866305,0.14917938295735836
BrainLat:CL-sub-30024,4.55119653018623,1.142723667052991,0.7031868289647364,0.5238630539130092,1.9164520222755803,1.3829687836528297,1.136705376972333,0.39198731029084466,0.2893894901652936,0.22716803316405973,0.5867006444301963,0.3975812819817494,2.22298638727994,0.6763058198915581,0.45421010171503107,0.3359633834989304,1.101143265955327,0.7070234384014031,0.811176869954855,0.3273016422951708,0.2752652199690073,0.2400901237401476,0.5442250479425456,0.3183736962739902,0.5492750119015501,0.2638871666951033,0.222135786188326,0.18892356649791542,0.4169756126968851,0.21456640907346675,0.924376315167251,0.2578499223367477,0.13606479151010312,0.0896518262900331,0.5854079343590413,0.24942889658016812,1.3885193769044004,0.34502421387204685,0.12650547766718087,0.07335714677576208,0.8899651772899432,0.3490222039224961,1.0191578588843326,0.23038059665626687,0.08839868553350273,0.0505947068058555,0.6776056525052502,0.24031904233917067
BrainLat:CL-sub-30027,1.9314186771907287,1.873693152986158,1.768527526966764,1.4765928857683785,2.2023167195939255,1.118251026792052,0.8499251344034475,0.9014167579056224,0.9598784819352011,0.9217264030638364,1.2569129915306503,0.661095886886052,1.1480565115387587,1.0644522050490368,0.9059779629567156,0.8145324554144757,1.2209668347773128,0.7107864462662983,1.0047821388783038,1.201729125810756,1.595297922868342,1.6540995133041572,2.091944460219972,0.9961092032785062,1.4925947740251624,2.1446251504521854,2.6435314387691236,2.517554808090864,2.993181142032362,1.6185193750304403,0.7682428939977622,0.6113197087854818,0.4302179525458063,0.3301452269801938,0.8480901153975041,0.35723910291851135,0.8560888436099952,0.7681505823221156,0.4069527033827266,0.2780727138109776,1.095747365790893,0.317499840564742,0.7839600842683839,0.5423922192272639,0.3008343181892602,0.22068072036921998,1.0444264589261663,0.245663343848404
BrainLat:CL-sub-30033,2.8970533638729057,1.6915659434498782,1.8454868537565783,2.442179927398316,3.820980336796844,1.2320063408239372,1.0013521399198602,0.8902454990479449,1.3501837101144478,1.842789651098741,1.724166586538799,0.7818007170889498,1.3863901048322633,0.9766633040138091,1.2217412077237229,1.6978904002464597,1.9922671297784245,0.7944162786387828,1.6454748378445418,2.0245904357888325,7.118119955582127,9.555108066566683,7.01013998846097,4.045870873900068,1.8092776802514055,2.9958887809963466,8.506446642246525,11.37378485176645,6.408000286148695,4.876859095955015,0.38626664104377223,0.46151294086899824,0.4976917169425158,0.4138104786750829,0.519433109151558,0.24482663559208206,0.31226545749530826,0.28791845037900143,0.20608416273611385,0.1268944845539959,0.269763266344715,0.14398544893172216,0.2545725227442451,0.09527847397637869,0.07781830809342404,0.06871116729238991,0.24481948787965613,0.07538503912024315
BrainLat:CL-sub-30035,3.261744719653271,1.4642566945458064,0.9035169751187264,0.8155495596431129,1.7542857141952455,1.1507819654187266,1.1426148645171275,0.7477712205527968,0.7187049303745323,0.7100861590626856,1.0200218358655773,0.5805878147377138,1.743582540739016,0.9532888501280168,0.6931912926734176,0.6280381679982124,1.122832788413249,0.7037779254339771,1.2220669641639779,0.8246709558530787,1.026124748803954,1.1648481067669738,1.585758089698164,0.7055992397180637,1.1223552097357012,0.9033398277413152,1.4540371798186373,1.9063701582778687,2.0760222152810885,0.8467257359260322,0.8711451443586417,0.6775863547391117,0.5075726177915164,0.37354204983730427,0.782221866790132,0.3537404584424443,0.8788857782801561,0.4511547321010173,0.26916319001132105,0.23416074615898985,0.9158060755425818,0.24360848399497737,0.9455781782013498,0.35980590938111306,0.2149491214576296,0.20529293480886607,0.9910776826625659,0.22976425973425108
