,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Izmir-13,2.8428345824494774,2.3324721640092427,1.859470153474421,1.854763636028663,2.5861403915198884,1.6084701455152337,1.7748587454290188,1.359560803042288,1.4218281181984718,1.363839388775918,1.6090990477061669,1.0700922507207273,1.883485464506743,1.4822157921885692,1.183932030981094,1.1317411068828347,1.537192808444601,1.053174190258734,2.3375196608937046,1.9304978802346155,2.5501885741147152,2.461778482312003,2.939660497165046,1.7669745416770661,2.797224558384562,2.247961463092008,2.2648929481909565,1.959420212033669,3.4618450993474106,1.767134257157344,0.7697800377085138,0.4234271323182853,0.28702788860949374,0.31105526464818994,0.6227551954779701,0.2806161775803263,0.7723620932475537,0.31688293156877406,0.22552173301132186,0.29825549658453515,0.5607055522817307,0.2312901393813637,0.6961026429751208,0.2470080297554208,0.19997579640208496,0.2894927029559806,0.5264585906979926,0.19676989098104972
Izmir-16,15.221675196334276,2.024570276580089,1.9275906459980747,2.334706222875088,5.468872167562768,5.0842693711267275,2.1129271488531636,0.5669762329401324,0.7045386807487678,0.8346090714437315,1.0869541080127736,0.9098087542398293,5.438415873459598,0.9504362946973595,1.0627787818073626,1.2708945753029819,2.2237353983223325,2.0372651719094184,1.5736155232980247,0.601689179011632,0.9503121372975191,1.2899166846925947,1.254577852991547,0.9321526995859679,1.3952721803610377,0.6959967185349618,1.094572227597697,1.366940983660818,1.2203178308553588,0.9479088769992079,0.33627321589512704,0.20219232581020602,0.18645509549398068,0.1539542543201732,0.22634812545236885,0.15937325538231234,0.30809630405753824,0.22664765322075645,0.16224633788400789,0.107855012502424,0.21416872934426287,0.1453126741854428,0.24249963207304268,0.11720883368806016,0.09218084194278889,0.07975001519470679,0.16049713020713627,0.0940254369187916
Izmir-17,2.1032833398012833,1.5451055526221535,1.2637306667422317,1.1724275844587368,1.5565892601473503,0.8049989804251962,0.9235878436674453,0.7215574822602783,0.5769473551747061,0.46581459439618905,0.8509623799160645,0.43475674941435655,1.2038250612830237,0.9134655303865449,0.7213447088112054,0.5736131076946566,0.9636054570685019,0.48521585053389676,1.1496147266142447,0.8286361352942125,0.9931460868053565,1.3014352481226727,1.4983411674544167,0.8746419367578181,1.0699359437720626,0.7698711725834594,0.9853069079557809,1.0215931356176513,1.3934061797254198,0.7413078133645609,0.990945334331413,0.7709027711411583,0.813833164738769,0.6552828172120636,1.1144998488602051,0.509333002438451,0.8411836960650027,0.4611716681797051,0.31922967359911864,0.514174476429129,0.8886241785301147,0.2588265475017213,0.7035415235033133,0.29680713405432935,0.1589061997579384,0.11678295877525373,0.7868642117725286,0.1592297731937661
Izmir-18,1.918479273942927,1.1543388770939051,1.8719266932573049,2.672176429484303,2.272600559106117,1.0290355820529977,2.86112781708695,3.639397625877851,7.4922125620473405,8.001156282697517,9.558736070993005,2.7306428653836727,1.7233766737756278,1.9714274440882802,3.5210452137664405,4.157949392988813,3.581279630821304,1.4248069771275003,1.6367377500110916,2.6903873238967417,5.791353329943154,6.676528582240587,5.758034574016662,1.943048588138507,1.0454955950870255,1.8496546535707368,3.35630322344301,3.4215572614178726,2.8765766140033886,1.213740760548226,0.48739212782406127,0.31089229851615163,0.365956186987756,0.36950145046289035,0.4574384469935816,0.22017814892183357,0.5297054888882418,0.20221100228334424,0.17416600815955458,0.16498945892416655,0.3632942816991575,0.17053458742425084,0.4639647855761985,0.11389670637213864,0.08304939996056741,0.09168203763065039,0.29593308538417595,0.12747333818427678
Izmir-21,1.1608405277472136,1.7468028651587342,1.5038987670863528,1.0019279837005926,0.9560190483125709,0.6900070717519518,1.3818621959330921,2.2280253871783597,2.45876934273272,2.5125261873808875,2.2127143266722373,1.1610284748485935,0.8879097492716352,1.6292429923443446,1.5761342937726912,1.2663402095375822,0.998305566477009,0.6623094089583854,1.6669124907931765,2.584855811533874,3.7822704832774496,4.55778011088659,3.6787002964577695,1.7611671870926107,1.5220477257139056,3.634786225685981,4.274005874486051,3.951803862391101,2.303803571185569,1.754800246930059,0.672128742885419,1.1671559730807863,1.0025212943614217,0.6098091371367623,0.7031493594969005,0.4292516920918152,0.6391553100946172,0.6960144493972903,0.487920154270521,0.2626309949802813,0.7068250220723861,0.28210715375415274,0.4565381120866753,0.2172681697301326,0.1806085605678232,0.11797457177473437,0.5861200744070401,0.13247549436660014
Izmir-22,1.4590516494527086,1.5901208576309007,1.3099323932720963,0.8588305679753905,1.472401139582634,0.5639377473524441,0.7203229916819673,0.8322044197119703,0.6368375890433738,0.43702255882994673,0.7048636973123228,0.2801454332278772,1.084456692006516,1.1480718574628161,0.9529174067834127,0.6630643744349005,1.0525317252751931,0.4071684837962399,0.6661045324144554,0.788887077832397,0.6520612835661272,0.4873755658571964,0.7246230302286958,0.29045915152070684,0.6141369860250743,0.7926766105789388,0.6980826303594142,0.5093484784808598,0.7131420003378698,0.285584178699248,0.9139758127295439,1.075042827306155,0.8803884813668398,0.6266968858876734,1.006611960971287,0.3850225883955461,1.0146394180788916,1.101316422400747,0.8496194949583258,0.6411570133294707,1.067482308057886,0.4196292351244196,0.95276089898769,0.9918091506750936,0.722906763544414,0.6280714402850643,0.916592414003439,0.3995007400675485
Izmir-23,5.433671812172057,3.3400616771555,2.342754739669282,1.4045438012335778,2.3794150296582957,2.6039965364888507,1.034461322605648,1.4095292480865658,1.1120270990119578,0.6621663045137028,0.876716222077615,0.7097515381026138,2.046686196695657,2.5556831220776974,1.7877637384197878,0.9548795165131776,1.4270135472562755,1.3596333594784582,1.2138042244420675,1.8706008818451552,1.7048758372280874,1.0979070261209196,1.1562270402192039,1.0172319880954575,1.0399241218101791,1.6190628176901936,1.2331890117391673,0.7304592228333534,0.8737897737762318,0.7769254843168476,0.9725154085511255,0.5417503892461443,0.3467897669643499,0.28194667055013406,0.623034052403257,0.32499076279599926,1.1380710389702795,0.6608655466605694,0.3813156111707832,0.31281470347261153,0.7362630904432694,0.3769157018073566,0.938612018781467,0.26776013369819057,0.22379244136165075,0.24403366384868555,0.5980547415309454,0.2531248425089088
Izmir-24,4.675976371455974,2.372569819631001,1.8843155434101757,1.7270498134769146,4.708632336224828,1.9084605525740506,3.7623943759141745,1.8507732737874936,2.8141462176055536,3.5557753971874577,5.489144225738362,2.69796906268648,3.70729849090791,1.843108297542531,2.4253003848361145,2.781986942957841,5.02688936877286,2.24405354666504,2.1245530207104273,1.1323803755875272,1.7595422470549449,2.8917807337472374,3.4576702585999044,1.6246713706120517,1.9999978038109318,0.9323243250771109,1.6809685086591049,2.2134144124322037,2.756453088241157,1.3752553574333781,0.2456821182076273,0.23215695333333888,0.20663357411045888,0.2259310561913942,0.38009708995237856,0.1253090227253663,0.1722501796734054,0.2001877348795658,0.15040862169153418,0.146554300500961,0.3005470640939549,0.08110562699761892,0.1194248339802574,0.12897779350982383,0.11795814327785212,0.1322615498119076,0.26095846156111735,0.055091543281742095
Izmir-26,3.105771233673289,1.5450719396855483,1.6240365527645588,1.8127665288411097,4.491820497802446,1.1118116612018347,1.790761084042172,0.9849921790970864,1.0569328332469368,1.1583579261839638,2.2283058237797704,0.6640188154648161,2.0314154325920084,1.174011303413617,1.1967822968646777,1.2064042953429484,2.8434384149731526,0.7625016554163412,2.190250362496632,1.470829543243441,1.8289691852909324,2.626872914556382,3.702447241456455,1.0672020246721636,4.159175049124896,2.555858613641936,4.720198106429131,12.140952827630139,10.353847508247535,2.744165302862493,0.3943293967644771,0.3077012381177267,0.346304809564253,0.3336280040700663,0.6453536568907982,0.17555208942893194,0.2850324116535,0.23799733028560408,0.1985008530007025,0.17013930115948372,0.45155148779705384,0.12185402679373798,0.1447599053652956,0.10107115272230695,0.09607010048036786,0.11364925474734798,0.26794654512056965,0.062152968045470554
Izmir-28,2.6789593466634285,6.089510959464491,4.848092539150488,2.3731704042136412,2.282344204826833,2.226000924902062,1.4185661032865218,4.806175183528702,3.8458684210927467,1.806907825303063,2.1932558905962893,1.6500693098358499,1.8665871401769616,5.276523645704638,4.235763961903523,1.9449281871590882,1.9475050498211202,1.8566084034551853,2.233378527633675,8.694553795621488,8.283282219716723,4.234958014377459,4.648270121945679,3.302225763538946,0.9125930156222933,3.5096757386945225,3.048322284219013,1.4085924203084357,1.1620509047787437,1.2108521384881081,0.2594309887191283,0.8597772507893571,0.5261349897133571,0.23129186939721666,0.22032150419687402,0.2473275112469154,0.17525378843936756,0.5064316329480847,0.28195018507805203,0.12142181234513105,0.1182278869814183,0.14408867495942498,0.11877027724230871,0.24089418761807185,0.14539215247383572,0.07331066565093484,0.09021118568687077,0.07973490872176475
