,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
BrainLat:AR-sub-10002,0.4006842300380906,0.37536316078890275,0.42709901906924475,0.39393877136335353,0.5600643394778302,0.1959227899831899,0.17657469915954493,0.1796212259947032,0.22971416279242085,0.2172289329779149,0.276132666816707,0.09531180745057144,0.255264524014994,0.2409613301791811,0.2681323517962122,0.2500814300886589,0.34308944756661686,0.12393299806051594,0.2173687066473744,0.2598283633740608,0.44897045902682575,0.6237250407098773,0.4897008552684563,0.24256157809381418,0.20310200000531364,0.39204999565265153,0.8484844428416645,1.3305979624042257,0.7308794256892721,0.4517375255448204,0.1878086990851453,0.2463973476033634,0.2702491131793181,0.28303605917032204,0.4761684478006778,0.11586736116130036,0.26655292128539476,0.3074178805384278,0.21323294738662035,0.20649986249779562,0.5706909330590955,0.09645973119215112,0.24304417970578474,0.2105332989801243,0.14570173358039984,0.15536969673015366,0.5418615585204072,0.06967280841199663
BrainLat:AR-sub-10003,0.365649680473904,0.30161384791538537,0.29839011851776487,0.2745144651550966,0.35944142212642727,0.17714080394173748,0.16241289945610204,0.10398859932837823,0.1279519773652873,0.11044175164647752,0.12717629601782554,0.06904774799815216,0.22714331407766952,0.16812642366593344,0.17160778537179033,0.1467255442506945,0.20504274178547655,0.10118161739403653,0.1978066367297191,0.10035383265707853,0.15844420523832525,0.11622243973897928,0.19744952896531998,0.10977261743451372,0.32959415841095296,0.13465089672276997,0.22095886332338943,0.16116377295233675,0.23945375097141075,0.14726695599530282,0.5743590056629158,0.141808809589969,0.11311044694087324,0.07500711041813135,0.20830447522632523,0.19150246317590436,0.7279214032990904,0.18280429996684933,0.09909443284217656,0.056667743303812745,0.2658252394573777,0.2694848102488261,0.6311761102021698,0.11291406145875627,0.05941589321969487,0.037398899477290026,0.21825383726551584,0.20070317558322137
BrainLat:AR-sub-10004,0.9066499747365782,1.1263613669918193,0.9223419857813797,0.7400996046983064,0.8418618427761657,0.555586518245577,0.6749117646763425,0.9396323496678995,0.6967337990147844,0.5417044260963721,0.6389074707463358,0.4413725888627551,0.7845244672492939,0.9797301206367204,0.7735130695911487,0.6048370424695091,0.699966816772523,0.49861728419261797,0.673457845878737,0.8346033562447326,0.6399957086834374,0.6319176310764931,0.6493589859963678,0.4244261031270682,0.609727572886199,0.6538960935466505,0.4994394058813698,0.5223741893385152,0.5605721051307135,0.3377952417751573,0.3012696554281258,0.287648334234325,0.21361841822999872,0.18700894864447504,0.23838257615694358,0.1415023444744643,0.24419346706896294,0.1991480546863027,0.1314268926750204,0.10024887837820962,0.16506299772312327,0.10454431034069045,0.18795236912340818,0.08866817809149308,0.061028327859903975,0.0624806014643986,0.12647831618625238,0.06393859473862462
BrainLat:AR-sub-10006,0.8240512453828008,0.4825012882883555,0.46643261991958074,0.5396444090321217,0.6960260559437699,0.48349582254446255,0.5521536617817762,0.4341699759768842,0.6268822057802625,0.7851484219786888,0.6823686331784735,0.4669505946894499,0.5853403261675239,0.37631264601726944,0.41529841938896306,0.5146754786001577,0.5164678646045233,0.3699585389994866,0.5963571026954544,0.5383651859517018,0.8683261480021445,1.1057960998818777,0.9293037735234149,0.5838705145859346,0.7056145554091591,0.7658703919417917,1.121960267976947,1.4458391787411466,1.2411624825922614,0.77557776633924,0.28467351453092227,0.21665511461189735,0.24561135997721673,0.2613689276169351,0.3318205023650691,0.16775418422858857,0.2094532287418276,0.15013641898546193,0.14289628279616906,0.14485185828015723,0.21976084978310895,0.09939234232648775,0.17756515062202216,0.08607202670632952,0.07481581361878997,0.08145723324960863,0.17966127219191952,0.06246756538155962
BrainLat:AR-sub-10009,0.6950759493699405,0.40543600727958684,0.4604558946449404,0.3510498376111062,0.5362051828380783,0.3623891226713365,0.300510504269879,0.3067254826947887,0.3049419732346732,0.2859298862110007,0.3340980500448931,0.22469445431844393,0.34700037008947304,0.2588692358493365,0.24641863443455603,0.21302986791783352,0.30668253549890157,0.19128301352558097,0.40566044103535837,0.5307546342269813,0.6917583995577326,0.8151780278832732,0.7486868759982697,0.45825422712800035,0.4889628843534337,0.794674325501695,0.9069975221401612,1.097394766640154,0.8591497638692975,0.6148051731174724,0.4684911738612949,0.5388379089547104,0.4402799032420104,0.38289958349308817,0.518534239508518,0.3361071134663083,0.26845335414808,0.23613696216143798,0.15259207859976565,0.11220891748200956,0.21581870149836546,0.1357533397470576,0.14929277176157396,0.07008824291723803,0.051797404013151915,0.050045405729009174,0.13859114917477466,0.056213807606808164
BrainLat:AR-sub-30001,0.7819306614486023,0.466814899085642,0.34364440946046027,0.41271236214826934,0.45349987995663144,0.41645241897388185,0.4289832601390786,0.4289475964057028,0.4405359992200264,0.37076657376138655,0.4515021455854946,0.37995853042179917,0.5673191285224359,0.3850797862087436,0.3012074871004582,0.2848366776373088,0.3442258466164412,0.33021567517288597,0.5099357678085188,0.6218590254595016,0.6246226421814787,0.4891090003888807,0.5946278824015006,0.49222096293647355,0.5140329938032262,0.5858743338168719,0.6206608737069468,0.5131290914508844,0.4404366655702803,0.45828051413127135,0.3503281301212666,0.386782239755473,0.22654466806288287,0.1384233606153873,0.3119126520346396,0.1656822801225939,0.2801050516434862,0.29179062495604,0.14879856874885422,0.09057446974168482,0.27718010416374583,0.10896633065485672,0.3626895737067546,0.26300965069168947,0.14019568711414165,0.09249233704688997,0.36297742105046615,0.11739104353438123
BrainLat:AR-sub-30004,1.2189703195692774,0.9856718041476966,0.6681239481787238,0.46046854306456164,0.8046031110876326,0.6074567442660828,0.62609213543276,0.4928782214219576,0.33398053502771097,0.2575783155869036,0.3786115872605347,0.2806163051903967,0.8198827333827567,0.6575679352558486,0.4556338361019532,0.3455949291374665,0.526639949982671,0.40173088661834755,0.7030557507286466,0.5342232082456331,0.4131460278455783,0.3241298482805701,0.5104172954090829,0.3769901939519005,0.8204394165726816,0.7054499885651164,0.5121997757799948,0.3618819617992528,0.6451184352582511,0.4783195027130962,0.25713784190987976,0.20928287645391874,0.1617761048661066,0.11895002834633694,0.2509805059374388,0.11146532115000785,0.1686326018643014,0.1156283935473057,0.0886792082685397,0.07340321301702879,0.17536450164419692,0.06439189915762489,0.15409809777731054,0.08697336950948165,0.05884315904542636,0.06092124064517246,0.1912897837090457,0.04899816160787407
BrainLat:AR-sub-30008,0.7320585265860304,0.9624546758676149,0.9441821470947516,0.5491267814058651,0.6974862960270183,0.4175143795669143,0.4711821549459454,0.6144944309074454,0.5699053201343998,0.38139769567957993,0.5120157594464989,0.3005581426705386,0.5278054844228823,0.693592021997868,0.6196034803989396,0.3658569820589148,0.501928156794204,0.30864181187727424,0.551616314956493,0.709308735455912,0.877762830818174,0.7456982188025354,0.9153127747230332,0.537546073045623,0.6665610630413932,0.9292379528600425,1.325383442933144,1.2568968024490914,1.3795403251204839,0.8609865095949192,0.2191500855523374,0.21189312004854433,0.21618075446700002,0.1753490666387585,0.21925974561492279,0.12636193620617497,0.1797182418558223,0.12765832048630044,0.11450247547058412,0.11754725597370075,0.15508088755358163,0.08006738651767087,0.15973830958792767,0.090343633698583,0.07385961512502615,0.10584153567455412,0.1443826839054667,0.06329439758912914
BrainLat:AR-sub-30012,0.49299003085101334,0.46460556926667196,0.33480535176028936,0.22550482103346114,0.27957279522068057,0.31064317338939373,0.3701528978608768,0.4289677915430421,0.310973483874323,0.21793952505251846,0.24847506048006962,0.24883640824780806,0.3859575573429246,0.40919094663188793,0.29986525100113437,0.20416393510530972,0.25366245010748956,0.2526597677720601,0.44238065930901227,0.5713643475167396,0.46732683127703223,0.39057393500288784,0.46411472861303493,0.3394032515623142,0.46847222303765634,0.7553508023700626,0.6426011531215166,0.5871132882757542,0.5278844693082905,0.41153963312758934,0.399618158300004,0.6390350491495769,0.46223509003690033,0.2511511829227586,0.35458913248120294,0.2813696701979125,0.2613820097154651,0.3795131606275717,0.2500006172206872,0.1452107035906689,0.25449989784817517,0.14414064696618878,0.182530627220437,0.20041812052759167,0.14209996252130308,0.10463193208608512,0.21469210070220446,0.09267951854575185
BrainLat:AR-sub-30015,0.8040095354848387,0.5542978631531199,0.32846276341984204,0.31949656910021984,0.6215154742374753,0.3601900791737376,0.38288524004877056,0.2745413684229283,0.20040902582924192,0.20574593296357735,0.3643837287405578,0.15987588739675074,0.4897655600707864,0.32096317546470887,0.19964593313721535,0.19411648371059953,0.36090177607832774,0.20345502321805164,0.3665568965589989,0.33923095897020095,0.3558310096901103,0.33517624274676794,0.4830650534863836,0.23121204846415377,0.42423999431510406,0.5276183211726995,0.6353594488848562,0.6783031660146244,0.5861100625560962,0.3875659097002806,0.25890080153754313,0.23937480526650656,0.21194349017541558,0.2113771529695212,0.36114746808093456,0.12469144572754787,0.2308039878861996,0.1948915942114693,0.13351957662952674,0.1341861600231944,0.2861873923075511,0.09272097742679519,0.2174906165026338,0.16065033703209197,0.10226250240357881,0.12566631071641932,0.3175775137353558,0.07556980810709413
