,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Istambul-falames1,0.7005623008808659,0.7384866311835017,1.072095399883009,0.9756043297193937,0.8809736947056912,0.5827884223101587,0.3182140922048662,0.2240969486761295,0.5051958495830242,0.6136887088820457,0.6036419949881917,0.32173056573931547,0.4251980310388248,0.386796412918716,0.5872927556706402,0.5646433919851137,0.5605181260395717,0.3215654515001307,0.48295962283277416,0.2903318223733167,0.7251372783849783,0.811066829748947,0.9226681471002804,0.5272771834639611,0.4583141864433049,0.40388748661055374,1.0722745855460127,1.3395193020947724,1.1060399425854186,0.8302399235647191,0.17340670424860316,0.08724982260279268,0.13683930677459233,0.14285910469109098,0.24223808869884533,0.1019887494275451,0.12435014393752786,0.07370708964410633,0.06028796999799657,0.06427633139116917,0.16822687197285524,0.05184072144227603,0.1598937868275303,0.030122655930165942,0.033840517613428434,0.05424827855765946,0.2340745371563122,0.03644350609644942
Istambul-falcehl1,0.7767383067009428,1.0300527345568105,1.0108284971137818,0.7118144377162408,0.6451397139647612,0.5314528925041593,0.4660112108412895,0.5750043702855427,0.5408468244979963,0.5325928010364775,0.39744346725380786,0.42837514183849446,0.4901598459250458,0.6820369583433668,0.6524848092834981,0.495418076387137,0.461438493253568,0.36922512898875226,0.4151835618554909,0.5965033728961209,0.8038014930168802,0.7871461981371306,0.713296734978671,0.5978775231826139,0.34868161822063937,0.5345267562707803,0.862878340759353,0.9751540000654377,0.8701420355947922,0.6196648357134864,0.18464337980585488,0.2670387226065103,0.1925079894051176,0.12635340004609352,0.1731650349451861,0.12944972675414146,0.19944492300049266,0.2637998498656362,0.1510437065835899,0.08831373282905552,0.15265507993424854,0.12987388058566185,0.12776351515266815,0.1476165078434879,0.11104426463376016,0.06566292531388918,0.11380982827197594,0.06983008217508324
Istambul-falecir1,0.6623641567629159,0.2964663006977222,0.31954720874719134,0.4126876080630244,0.581412885984693,0.3604589482240099,0.6357175773217687,0.2966660211651997,0.4959975626507396,0.5245813003053521,0.6088749610205502,0.4559683018228473,0.7928019318551507,0.2724539396451229,0.29607025033784073,0.33979172237001176,0.600583190017363,0.3991757656485573,0.687003692001932,0.4649489686559656,0.8661321758277396,0.8743779807585996,0.9672350574620361,0.6796092018232949,0.7679805637536061,0.646222847403555,1.2152388677895325,1.3550707066775707,1.1628010424285402,0.8989728841726372,0.23250256731450092,0.1902086206813205,0.11428240939722079,0.10339698926354646,0.2548233606484065,0.1097430687005927,0.16910842521274083,0.10242340383976645,0.057196448044980475,0.059980403300646135,0.19527527651747967,0.05840150318840087,0.2155945472565497,0.09546236435376931,0.05620345529386794,0.057164718461651276,0.2749018102045486,0.05428603646526575
Istambul-faledev1,0.7282947068416308,0.4292499972437247,0.369076155456987,0.2643829876880015,0.32139146886444614,0.3131937576445243,0.600780499646784,0.3545655577655684,0.28104475388081007,0.21010262862379303,0.23963107784932336,0.2695042499509166,0.8372384501457695,0.4464111492315974,0.2952958782886803,0.19156562869998672,0.26668577239560975,0.3449949762116937,0.5611116521077424,0.4687583776041351,0.5709211277825816,0.5735277612284746,0.41597897755412827,0.3807330620128244,0.5322962612368676,0.5479096762757518,0.7276473936164973,0.7819258462827079,0.5283660281225753,0.4619795117224308,0.46396461234956177,0.30651062157277487,0.26433832141575375,0.1989969681951036,0.24976178025132456,0.18954239834446662,0.38047762906517946,0.18447513115662795,0.13315208984436033,0.08734608663018428,0.14701480408418544,0.11647693628726641,0.4522897180565584,0.20939875878583836,0.10534700381388595,0.06210943023997473,0.15608525356312364,0.1315476533959239
Istambul-falekab1,1.0488331452741186,0.997019602380578,0.7297978447462454,0.510613334638587,0.6912808989768047,0.5632089076062343,0.4136084022087747,0.4598578806706768,0.3025755019377878,0.20479517019154825,0.3105177929597358,0.24121688916506723,0.6350829619508918,0.6693071424507884,0.4898527256014551,0.32797801255928904,0.4699586877110926,0.3504077291494918,0.34409235846621833,0.39885472854313786,0.36748631595976344,0.39379938483625687,0.3713130490783645,0.25582650780172256,0.33164626098426275,0.45135175074222156,0.6880908213029744,0.8865001584374872,0.630823873732469,0.44390448151205963,0.3806255559527012,0.3130285317487589,0.24708132485261602,0.185147619964509,0.33058930118184215,0.17901556516783712,0.34805772407569546,0.18516551784233704,0.1204591061179423,0.09937110131313465,0.2891882831240482,0.10703448982178565,0.32659048346676056,0.12711856600518012,0.08743064528839706,0.09399771358998499,0.30527201864750575,0.0875053684197975
Istambul-falfsev1,0.7091060093368367,0.21594304247436868,0.2925987309489466,0.3169186317596624,0.8744145455062351,0.22490762914894247,0.41688954362486097,0.09443046023708734,0.07611033426449798,0.0920411994748731,0.6218790072129852,0.08125822163462226,0.5498666123824023,0.17662884999833617,0.2423704789315746,0.25369828387757476,0.6809191860419328,0.184271656335929,0.33448012863566,0.00443043374652663,-0.043283945642943245,0.0035655598064929794,0.4519144972335851,-0.03136422440863795,0.29791809397089986,0.03462393469297864,-0.029171277640445137,-0.021360198152352683,0.41260997936329447,-0.014115573487836541,0.45487687450701353,0.07964264693665424,0.0442514551634936,0.057170206963131465,0.6421802399674439,0.08079939076640819,0.505007974828444,0.08787473082082786,0.060870959554720105,0.05289425129239911,0.7269362191400264,0.0776043776837747,0.585446287784773,0.10564302262628922,0.06674507299593335,0.058062556030233914,0.8583675455257551,0.09389925958350132
Istambul-falgdon1,1.0888197491909977,0.7214176606269058,0.6488824607038934,0.48214771188591654,1.1548713695633506,0.5216074223738489,0.5898097663957325,0.4536672567113733,0.490052740386445,0.31737371203843323,0.7844815625305006,0.32892932948949016,0.6251132836816433,0.49953412749459747,0.46707043928013703,0.32709750381851976,0.7220926279368747,0.34623238623183594,0.5714403805785215,0.42986890779574116,0.37824405710859743,0.29032924051632714,0.8076586157535623,0.2933942085266601,0.41042451949525116,0.30681491786034987,0.28855195043974713,0.26103674958437484,0.5697587259232304,0.20765626298406925,0.29108628320847174,0.20007935328810844,0.17854540262163443,0.11363570521802058,0.3379794840383159,0.13124697914113792,0.25031004639999743,0.15311082021585865,0.10914700466213789,0.06405467058998315,0.23773023901095125,0.09196026012004732,0.18804945988918598,0.12703508604638913,0.08650066095340869,0.046730023560036305,0.18523144457304408,0.06758959109271379
Istambul-falherb1,0.9619494768051735,0.5771757909706245,0.4667406575716482,0.4983265309063494,0.8549183360306731,0.4320438676112819,0.6523649221179717,0.3141055692345356,0.3187755605514171,0.3045170281155205,0.9228673823096207,0.3327876369249263,0.6989024012679763,0.3641584817470067,0.32359570685740513,0.33576284782341737,0.76777958941298,0.3120975372453558,0.5783189979118393,0.27299846831811414,0.3260171141614905,0.3345619319289137,0.8722010381525738,0.29226313525485437,0.5269452556255725,0.36757067637626717,0.31955653497226755,0.24322112996677148,0.728502481001545,0.274382657700037,0.5456656622465412,0.5421183539117354,0.29812385629819493,0.1644332629891898,0.5579625807350266,0.3000548550381219,0.2210404268352988,0.17701932541146959,0.0881167488569976,0.06385874346815146,0.21425350335276527,0.09982113013040195,0.08097053041219882,0.0586468300885723,0.02841554798164747,0.028207272711608278,0.0753974948255769,0.030347976130522758
Istambul-falmasi1,0.6328967354604804,0.5861943053440553,0.6236504451792781,0.5992774279769242,0.7747826988597561,0.37358573465113176,0.36418282804495683,0.2742555291932658,0.3434821481295709,0.376516435179731,0.5466010772123009,0.2344853186091862,0.4205614249525891,0.36014492696580747,0.40012232259592784,0.38788419676065145,0.5230655417866326,0.2537459328870779,0.45142986636664073,0.29592573172727077,0.5330078560433786,0.7743396868447578,1.116567892005334,0.4006421712693704,0.5103730520207195,0.3396746975842664,0.6588051741496344,0.9781751629552813,1.2654093523587306,0.4949072104493919,0.24123262193400974,0.10856547772027292,0.13702504373062063,0.1910402457860596,0.3289289462903362,0.11148656337538987,0.3181185557178705,0.10558031815649582,0.09949162032231151,0.11154605703051756,0.3405283660057261,0.10757046834383854,0.3262802047086366,0.13808574628347237,0.12131765410500006,0.11667272455158195,0.3740416062919856,0.12010879686630505
Istambul-falmcek1,1.0481217925163815,0.6034332739878938,0.6616222137381262,0.5386314714640168,0.7639340792157263,0.8161060852295883,0.5869883814120724,0.6041715955955915,0.8515370767431083,0.5538525791700897,0.7016001720272012,0.7072171626034331,1.2109897959592533,0.8977658606898835,1.175339125859256,0.9247351593633173,1.3006360805281671,1.163321187749879,0.3718326516678603,0.41383376174101016,0.4444493490331145,0.23547786870301657,0.3109260826622864,0.4051911701114572,0.22286031765148162,0.2390616621508741,0.18415939881279408,0.07753892463783929,0.12451105297514209,0.16762277209055632,0.2004818016642873,0.1113525896725085,0.09994209902989382,0.1145677790973918,0.1320163900349578,0.09953446318248815,0.2283385715024211,0.08936979227792863,0.08949187656158486,0.1176009033812182,0.11693093183608538,0.08726188000411361,0.1793147246248965,0.0719680931563631,0.08436784672857778,0.1320632880316337,0.11249488381564321,0.07564151703747335
