,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Izmir-13,0.7217731206246742,0.6503085528192041,0.5681933473711092,0.5724405065841074,0.7094971807689354,0.4815020998197772,0.5414822868905009,0.4631720270834374,0.5025604766358949,0.47718137095965263,0.5260492986186109,0.37857124174107937,0.5450690647447942,0.47300581885869586,0.4094315992222395,0.39156458569901487,0.4828883812356124,0.3553034331655922,0.6864964492611714,0.6111882103847022,0.7756911826431185,0.7516506919170498,0.8276437481627514,0.5657138240267585,0.8041386100949779,0.7114068832326057,0.7264946854505683,0.6471108756565467,0.9339104594169239,0.5753738168931377,0.2718068190808258,0.16235003642290513,0.11487084165655159,0.12600689813975774,0.2270655963630548,0.11070863370446093,0.27835053726201653,0.1240355022836579,0.09403247203226894,0.12408749738061586,0.20843667099576724,0.09331991710627019,0.2529398703793686,0.0969090998978488,0.08375695355140023,0.11905839596426726,0.19862466438577275,0.08088690226276496
Izmir-16,2.2120976028833774,0.5927509734209473,0.5954345538537802,0.6888660273007086,1.2161550572518762,1.1458016006164944,0.6225911431322202,0.22257639129601792,0.28555339424788984,0.32087408353966484,0.391074630421818,0.33331624581392205,1.199762382768168,0.3295956963234481,0.37580325478506893,0.43049205678929314,0.645071962384725,0.6172082498817257,0.5037500132116906,0.24418489360740936,0.37195776904539724,0.46403368752089236,0.4324480753166364,0.3426015627407495,0.46537772177482495,0.27033690809201283,0.42252110799892706,0.4977531658155372,0.430635173933271,0.3561945291216069,0.12453400100775958,0.07778347604114488,0.07427727843243015,0.0585183696401157,0.0819547906775362,0.06299202471564125,0.1115356235022702,0.08717446545754592,0.06686100287163055,0.04310668765967418,0.07912057979836185,0.05743736107028785,0.09350444112011869,0.04857506519570576,0.03929553188579882,0.03221478228535668,0.0581459575617258,0.03803368349496483
Izmir-17,0.5832081228592676,0.48360751504566557,0.42984225750683835,0.404847506220541,0.47759266031883496,0.2882243108717195,0.315911823502115,0.2725584295774688,0.2421397026971417,0.19703150562687965,0.31939957769374017,0.17542532349386808,0.3734455394828504,0.3183219462955522,0.2718679348511126,0.22225063989418148,0.3213044996385135,0.17659900200657197,0.3906425382870158,0.31529452969216964,0.38655497168035957,0.46902305155574986,0.4985541444797419,0.3263938899882366,0.3737132449980456,0.29482606647157783,0.39067312405065824,0.40214692972813726,0.47851400673261324,0.2954643463415636,0.34087016533787273,0.2855020183977819,0.31778585951253246,0.26274497464963265,0.38992394448472534,0.19759822803884797,0.30026997171318026,0.1781055749357412,0.1332625979782911,0.21129727534084086,0.32122138146076207,0.10419212834206171,0.25558113304020336,0.11558847697290364,0.06703535104367164,0.04843435631472648,0.292423480941818,0.06495767587806722
Izmir-18,0.5475851542235073,0.3899060085258077,0.5816021661013728,0.7660219403406232,0.6361400447425887,0.34390496298272155,0.7842196839799322,0.9893596335638009,1.601974237008434,1.6489606582694938,1.7849971802325229,0.8017037813682295,0.4999632982444995,0.5971810896066048,0.9630297505123453,1.085061205455506,0.9327760438094272,0.4583733351360151,0.5197680308659218,0.789818587226595,1.3544318472961874,1.4721680525969791,1.3191709601943367,0.610307579078115,0.36653715273376863,0.6136509032055879,0.9637687321141521,0.9607344331778556,0.8219985940442867,0.43300266938070164,0.17766478544995845,0.12014463235360373,0.14928140592102945,0.15084620072754862,0.1697352769364917,0.08709051296913017,0.1928491784840729,0.07892269262605534,0.07267830545546139,0.06806839151261035,0.1369414250487193,0.06788222485735518,0.17322535981838394,0.04817542819133047,0.0368430892545597,0.03794697367375699,0.1121939838613133,0.05175154230085233
Izmir-21,0.39452399343756017,0.523594980914178,0.48228921155201165,0.3568548363298636,0.3368050256258499,0.2587483798185648,0.4406093836606697,0.6859492262056326,0.763239239492794,0.7661876470970486,0.6731031574033128,0.40552349004102095,0.2955535416523114,0.5105637934637024,0.517139097421061,0.4303704545344209,0.3345569695254982,0.23527324986217946,0.5259305229732472,0.7612174826533948,1.0206153401128524,1.1520099377612096,0.9719708759579704,0.5645507009529642,0.49797913076314204,1.0171237631012109,1.1301088941861535,1.0577515553176586,0.6966285705016051,0.5727881800420571,0.23972956388576727,0.4121302743664932,0.38056670913707547,0.24585513108700607,0.255360445499623,0.16823350091796563,0.2320883253502084,0.2636612822809048,0.20124381802393732,0.10931469828257367,0.2601697646918284,0.11421783223263371,0.17015994868894868,0.086371494456148,0.076501419214418,0.04885948884924307,0.22072548067877573,0.053697184734145864
Izmir-22,0.4560188999253558,0.4941874937061259,0.4419131417361801,0.32072352807697047,0.45760296351871577,0.22713642104125298,0.2558407961170528,0.3085850913434063,0.26275940622149685,0.18660257279096637,0.27374064492776595,0.12193260209434964,0.34223271524265875,0.38503886214642025,0.34304686526250205,0.25048963409999736,0.34667806584558014,0.15103712712461492,0.249040324616846,0.30312599044965927,0.28015461916007744,0.2233947771435978,0.27852430303305287,0.14287660119685208,0.23386560967185188,0.30250295216819545,0.29929072253110434,0.24263786072870142,0.28298574308003377,0.1484881099665456,0.317279304182154,0.3840598599703364,0.3408255061137031,0.2520841675002852,0.3564073053919137,0.15104447219077577,0.35716128814753034,0.3981597079854151,0.33567431030611883,0.25925519572182165,0.37805986183195106,0.16955391747321702,0.33710118923756593,0.34775797052279755,0.28050235571996596,0.25224289965360325,0.3362032267736821,0.16591117885070172
Izmir-23,1.13352295404,0.8489418979149035,0.6784009485566045,0.4617057179471957,0.6671297480350911,0.6978328032441492,0.3443733000979601,0.4764858149739235,0.4121194719129473,0.25916420082477387,0.31760419634713943,0.26387310110321693,0.5838312002220281,0.7280220197688065,0.5720861110986393,0.33989477739092133,0.4541972488210353,0.4449935642221483,0.4054215846462379,0.5960210465355071,0.5779531550587995,0.4110200104806345,0.40159663041703975,0.36554971195716335,0.36172610249772696,0.5480860488250634,0.4614370278509843,0.3116154088638705,0.32847232245586655,0.30427291513565025,0.33577462723828577,0.2058529762355401,0.13976783355156197,0.11357678373898339,0.22745404036766237,0.12807779196394642,0.3965653228899437,0.2513306869853622,0.1587155471279249,0.13037357693319285,0.27037085132077987,0.1528380119764685,0.3316470163998724,0.10478581563016753,0.09369934465439411,0.10079950921511549,0.2251230572501004,0.1043943532503937
Izmir-24,1.0202671884572956,0.6591446292005718,0.5749019015523975,0.5399382827943391,1.1020869812548129,0.5481714687687798,0.9601717175081028,0.5958621146990835,0.841145335313898,0.9756967720095968,1.2686276025191598,0.7942468684646988,0.9166505879071039,0.5639842830883897,0.7262638997587847,0.8041305454924432,1.2018266841516048,0.6720377643869704,0.6374205280958127,0.401004517989046,0.5894957720113922,0.8409140150467753,0.9301388103318702,0.5290457227846594,0.6204300651145038,0.3461684812446728,0.5821388054325527,0.7051905003552894,0.7934897568741455,0.4729422537928465,0.09032503705853334,0.08852746709739501,0.08019547941347538,0.08943676691541769,0.13716442249121186,0.048723055808421956,0.06013105861117185,0.07727962673443844,0.06125042193723895,0.058805396037034274,0.10993195292188584,0.03126659046134184,0.04829938715803572,0.052739158813512876,0.04975420488138971,0.05284506484153573,0.09561144338419147,0.022189462644508273
Izmir-26,0.7646728463294776,0.48359964936002786,0.5210815707333591,0.5670277498022664,1.0578868281059215,0.3642710600209522,0.5461015233143864,0.3560628567228088,0.40002397717897376,0.4230094762219212,0.6831119573336284,0.2532081704965272,0.5712694224073784,0.3921031592248858,0.414462299584619,0.41325151270197913,0.7835741821759321,0.2647340083070393,0.6528768439350157,0.49900877819837186,0.6135634753513277,0.7884206781203811,0.9781105176665661,0.3823734143180506,1.0710269660698284,0.7880845596836301,1.211726243919364,2.128972350220416,1.9001099343821077,0.8006061458633398,0.14545317881811415,0.11923760680373574,0.1414151546599094,0.13594034641539077,0.23701601314667742,0.0695682020578281,0.10287316950555558,0.09306928147770988,0.08309210309201798,0.07041756706071256,0.16998695975633216,0.04800962900516903,0.05891874165605837,0.043834169203429196,0.042221644478724674,0.04715517631617372,0.10175073278335378,0.02503756617126962
Izmir-28,0.6898435312551254,1.3237954130007341,1.1902250347468422,0.6998265886139261,0.6392872774654692,0.6190882827000281,0.4520127292304368,1.196316660710996,1.05059040757462,0.6028503013515043,0.6748355379208855,0.5444726721772721,0.5347919544019766,1.2404145707412795,1.0994463335334719,0.6105624176963793,0.5814592429216792,0.5750749300228246,0.6627573573917676,1.725273879601854,1.688424903424104,1.0973870514735982,1.1438422773268586,0.9022136461193395,0.327015155137681,0.9953776218362818,0.9018831542668384,0.510678807633278,0.41590899905793166,0.43302298270833095,0.09803107534585576,0.31502007165333756,0.21259490208931298,0.0923810071228226,0.08114205523996243,0.0977877741725457,0.061700031981196446,0.19516007030437277,0.11815788504198999,0.04977323097511066,0.04594462788371456,0.05711243169698532,0.050078857572608104,0.09531887190986432,0.062109250973793495,0.031430443678146514,0.03437822730845608,0.032037328090103845
