,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
BrainLat:AR-sub-10002,0.6844806175895468,0.4823351885483944,0.41063370531243937,0.38908718710967416,0.7286267790290821,0.2873576382826688,0.28443375239984214,0.19104083933381055,0.16300142781867066,0.16674250021877213,0.30740642696892984,0.12140413079451084,0.40391472981195453,0.2819865112185902,0.23430337265309764,0.23164599857286206,0.43026195779605625,0.16846604478138016,0.28868494794473776,0.23632664390852431,0.2936220460270569,0.4445551134292578,0.4501980292200094,0.21303270365528348,0.26754957858304484,0.3322476068742297,0.5596425690229974,0.9159233332776004,0.6212285544205549,0.3800024057958604,0.2720990722316807,0.27034600193946234,0.2251078712140715,0.2499079178689252,0.4922753165964957,0.13764215404391567,0.36189939028007023,0.3253445217400679,0.17595193469804493,0.18063497308081322,0.6399263518443403,0.11373971497515489,0.3307075536242323,0.2803857667072984,0.1343456033859638,0.13602653581072177,0.5954794906971685,0.08771576337144515
BrainLat:AR-sub-10003,0.6360674998389331,0.4016340378982046,0.3141178969633973,0.29917249244143274,0.5188080439345455,0.26568821889610494,0.2689276272121821,0.13019485147034104,0.09960915421906491,0.09376171508533915,0.1857421521366951,0.09858360426409463,0.36821573568076804,0.20271714385305284,0.15642527759846492,0.1483936349939492,0.27674137876894767,0.14356953242678205,0.2701116441418825,0.11958684797270291,0.09899033733332407,0.09325671559437665,0.19141760181967427,0.10261455465737468,0.36770346069272475,0.1543104331825893,0.15497715791328437,0.13900085957426134,0.22515468665724914,0.1542048827003646,0.6885847142738666,0.15998377268888908,0.09043937347145903,0.06805184374875828,0.24951599602255325,0.21941000006675715,1.063448577838182,0.2069010251426795,0.0903735151478906,0.05899232528745113,0.309704844430025,0.35379064594784504,0.8689454834996975,0.1544782738985786,0.06289965267439857,0.04485133710866962,0.26056671414468235,0.2702192296549939
BrainLat:AR-sub-10004,1.4453430899672361,1.3075241234636805,0.7663297973405783,0.6369279267432406,1.0195572869140608,0.7175214301584794,0.8387383800376835,0.7547754359273962,0.4345836222262829,0.37786058116711274,0.5892252577906101,0.4025684944911565,1.2304400852979085,1.1048931260475952,0.6234974640777695,0.5035100334766405,0.8323559903416022,0.599911257880682,0.7036705515924904,0.6322336878656272,0.41687759543842495,0.4493796238292955,0.5897045834950811,0.36212749001486677,0.5805477959004344,0.5053747394213981,0.3374299552421218,0.39137644281672257,0.48496081844593086,0.29556033649605484,0.3943064866569528,0.3139099885342702,0.17653895365314964,0.1664420882339721,0.2763173706968045,0.16547022669150468,0.33040750349573345,0.22205543409400375,0.11429740583734227,0.0944374787337352,0.2017905064893597,0.1251265778193582,0.25747683409569055,0.12450351414845229,0.06379532654201925,0.06384942277408223,0.16558989560579684,0.08005992744210189
BrainLat:AR-sub-10006,1.316984319073769,0.5981802897864643,0.45868250051619297,0.5086249241951997,0.8691729514385325,0.6280389332619676,0.7022425922311561,0.39265192767166823,0.3946333184194488,0.5185023554442214,0.6123972509149318,0.4226228341088438,0.9088510591237466,0.42727808088876995,0.3561698510026148,0.43792669034818665,0.6257661134566368,0.4486881402808003,0.6271912277311438,0.429606961028568,0.54995209872881,0.7380507889364682,0.8225312058370047,0.48674707038673803,0.6366084219986874,0.5757076794296236,0.7157300520129393,0.9625052651813488,1.0026153095557744,0.6039325315627331,0.37676022860961456,0.24034304765159153,0.19921687513289688,0.22727269772016268,0.3539195409719218,0.19589477730109728,0.2990704349203377,0.17395562169445222,0.11932328417927063,0.1283067120652872,0.26242537921514786,0.1258154359802346,0.2540025301168658,0.1220365375495922,0.0749458517578776,0.07692936458797961,0.22063458937958758,0.0832666252131451
BrainLat:AR-sub-10009,1.1267029714819299,0.5152655329672489,0.43662117094885344,0.35587623719198014,0.7023904968533554,0.48607028706982724,0.4223610325176448,0.28815716514642165,0.20945315166378964,0.2127743665570374,0.35144937910582663,0.22657062493087032,0.5508760271740218,0.30246068137887305,0.2160259860527085,0.200201647449457,0.3906973773908686,0.24681205233235892,0.46122180265157176,0.43000914529852063,0.45548544175163785,0.57588556730152,0.6783773947050835,0.39099314030729193,0.4905003166034787,0.6013167867226001,0.6033651324134621,0.7773603414655879,0.7270441050993723,0.5023042838940539,0.5744126407604144,0.5789854382674395,0.37013113446170487,0.33587887881493383,0.5316243990041367,0.37694126781617543,0.35808301290292244,0.2581160768764672,0.13136427256673788,0.10469058701849798,0.2556935431686367,0.16477434680263814,0.20233314552923387,0.09994909391867512,0.05673661674756558,0.0551453553105119,0.17812283422239017,0.06757871451992337
BrainLat:AR-sub-30001,1.239917074570148,0.5803060272214629,0.3767727065922404,0.4134251909574962,0.6192151644261039,0.5432648158803908,0.5640974094784257,0.40066341386630655,0.3102036355481277,0.2687081546759982,0.4555831612922985,0.36466187960121577,0.8649664437293065,0.43412171094930696,0.27481815769255724,0.26095856373548765,0.42996202687212315,0.39890632156339967,0.5530390578794626,0.48368636306250146,0.3853360121021605,0.3169393190446774,0.5336413002231837,0.41084121292508,0.48777314168258923,0.43227035693036475,0.3622912952092081,0.3114985449766101,0.3612349615115955,0.3536693075885027,0.4473035688263076,0.41911132625081793,0.17951292601414393,0.11346890502592544,0.3346255778577536,0.19380407202170846,0.3821540817046729,0.31041077976720177,0.12217005807954706,0.08147483537726807,0.3227461325986989,0.13442780951213384,0.48537179328685887,0.3429058532906697,0.13154640217874825,0.08702357522218684,0.4103404609797112,0.1517368041772864
BrainLat:AR-sub-30004,1.9110306536654518,1.1495326524359557,0.6192883008794838,0.45077427601745645,0.9851171557409435,0.77142927085322,0.7829039481486739,0.45186865620856587,0.24540247553791206,0.1939551556117236,0.4011580761167941,0.2863692288360902,1.2504931041420742,0.733901536130195,0.39867355056093223,0.31165219834357916,0.6328421907800468,0.47865589417981314,0.727128348227376,0.42109098041258064,0.2437754880057974,0.20023336909036193,0.45770680304809974,0.31607522968692403,0.7099054011848465,0.5014905849883478,0.28637111371255664,0.20523611308370726,0.516789029152247,0.3619152406518491,0.3470027412278831,0.2324611312302547,0.12314938523236174,0.09664868203747834,0.27783724577552715,0.13551401166734967,0.2306286651045919,0.14124231284519273,0.0754522190651794,0.06688778624341007,0.21393502750984084,0.07728399847710121,0.2103118470789267,0.11879542052156045,0.06285727309316869,0.06109947396225457,0.23266204351761055,0.05984672190952911
BrainLat:AR-sub-30008,1.1636717328782122,1.1240103514665551,0.8196484267699433,0.5133464168720983,0.8725693992934491,0.5444148670271611,0.6109843507133246,0.5406452238979174,0.385703014016181,0.27561746744966653,0.502949465560846,0.30058252243083006,0.8017552252779327,0.7753408117387686,0.5245466209386971,0.32428279735354515,0.6067658480937728,0.373907854369369,0.5906766367719849,0.5421662466915116,0.5410029152124134,0.48289758061258414,0.8095545783973546,0.44699771429757473,0.5999910201027676,0.6458279047693933,0.7730454527460175,0.7692262387881332,1.078756499527186,0.6316555686559393,0.30599420663872,0.23455309967967386,0.170586531601574,0.14551361320705292,0.2503235628122231,0.1511407186101703,0.2388864516911593,0.15353429529508222,0.09617242176071872,0.1033553678878838,0.19147655398326013,0.0952525921501739,0.21333594923150168,0.12179941863782773,0.07620286262186515,0.09727441006257176,0.18411499417672106,0.07727304669638313
BrainLat:AR-sub-30012,0.8031553142832824,0.579380077768429,0.3506493170315179,0.262995028979764,0.43905818711551503,0.4181751428153868,0.49788110163116595,0.3975844136754867,0.23237472375569612,0.1743648167125269,0.30465488129902396,0.2604737938673891,0.5710979937033993,0.4629995066264838,0.2696008964741514,0.19867702387457742,0.32655689770880825,0.30924473659698926,0.49975522627614444,0.4497822963303051,0.2871350449570593,0.25684603835570163,0.42436376861463554,0.2888314465864721,0.46603510815969895,0.5340317386720987,0.3733990759288539,0.3677189202377589,0.434277082988648,0.319433786836371,0.5001746676717578,0.6860552486067115,0.38217461021721855,0.21486991712665038,0.37934395554963163,0.318533145326626,0.34461508323006695,0.39411246811833855,0.20009400681041067,0.12766047867824448,0.29719057246600045,0.17887341375006893,0.23762269972665306,0.2624932802272921,0.1326416874184917,0.09690835606764026,0.256875354967925,0.11449601157754863
BrainLat:AR-sub-30015,1.2615857746012407,0.6776682948293815,0.3447145985427744,0.3353903111347585,0.7977958703926349,0.47616947891941597,0.5116437488897643,0.280161558335982,0.16304715092440492,0.1660177546191559,0.4002207404084972,0.18837687080249776,0.7167103643807518,0.3650727892598802,0.19002861757227008,0.19292085595620612,0.4449384217691059,0.2515204280582586,0.4310809119880932,0.2862320251948425,0.2099303198040836,0.21488199924925877,0.4391806070272537,0.19873731081696455,0.4318443424486573,0.38512901800973065,0.362344617095923,0.4205456304065256,0.47602828246874207,0.2980350916879839,0.3486506968599852,0.26343802730700494,0.16976441406907972,0.18058605493594548,0.384089688728648,0.14843335849165773,0.30717672332730306,0.21772562281943797,0.11210881490813995,0.11829444615157025,0.3319009165838416,0.11103356347450255,0.2875094896450707,0.21254580978794846,0.09891314534693074,0.11222720047664203,0.36335509434814517,0.09271375546624183
