,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
BrainLat:CL-sub-10001,1.113861883661595,0.9092058046673213,0.7735423179483447,0.5368365642956789,0.7010805459430403,0.6202676944847261,0.5439575332375244,0.4141057788572067,0.3687863275738841,0.26646219273552263,0.4004052145017212,0.30073061904601506,0.6918446265478795,0.5607947206659021,0.4878130678976149,0.3375535817613502,0.4347570434304622,0.376417108697078,0.5340513877752187,0.4523992848982399,0.4544878886486956,0.39227554903449313,0.6225450011088831,0.4025265200230601,0.5727751248228075,0.5736645769000026,0.5747611995718012,0.48431002796292866,0.7340738141679757,0.5373091644682504,0.3209955901349395,0.2238372500293222,0.16753658758656442,0.12810227065524504,0.23376475682961884,0.16019409201944912,0.22539653192664622,0.14577480719960878,0.10334668719473994,0.09699124986118224,0.17595733584286388,0.10095956964941477,0.14325854332976973,0.08879699106424543,0.0661641137101483,0.07861782503255976,0.14236155025210095,0.05533204315907003
BrainLat:CL-sub-10005,0.9884936207373047,0.7000700928963046,0.5495490185942651,0.5483242751484554,0.842773235102896,0.4471958359310342,0.42497102777950224,0.35495268018059556,0.4287260926756238,0.4559831124273228,0.5585111752744258,0.3197654511679391,0.5799974958307865,0.45170804866195735,0.44551993531225653,0.47297134563953613,0.5883289359903281,0.3419318151484254,0.5193822846963183,0.6847022725586036,1.1137036340437834,1.1644556287347108,1.4744203474750202,0.7836504852644663,0.6941046399251449,1.0585107715019468,1.485414691819785,1.3975759434699593,1.799417774842111,1.080415730873736,0.19686303604658573,0.16560118831564985,0.14859273918906335,0.16055099180880372,0.23856910221280048,0.11731442281985105,0.14279634046779277,0.09738996886746731,0.06647468942328061,0.08482832544488095,0.12349898828610528,0.06698072976315594,0.06955658091947758,0.041078632847941554,0.037107191052247135,0.06538323833344539,0.08612285890364402,0.02874715159793495
BrainLat:CL-sub-10008,1.5076504820089567,0.9063763329544845,0.449033377666886,0.38331909709223666,0.9484367206396682,0.5986602853752296,0.6638191535762306,0.37999472629901443,0.20225512613383412,0.17829349182788023,0.43067481045865974,0.2522979265373322,1.0412396588225366,0.5989041601201328,0.2864142693605498,0.23962859879077092,0.6312423672865759,0.39201628090818974,0.6846338041076685,0.4402781514089902,0.39185539918229795,0.4291928200553383,0.7855543637288633,0.3769874079075479,0.5658579319193913,0.46957017407428525,0.44799640530146445,0.4809545129433712,0.7307572298449148,0.37211040792359174,0.478807743157579,0.18056759479250095,0.08731895738529172,0.07568863134469894,0.23086099744186894,0.15576264108056592,0.6223645144237926,0.1451856902892057,0.0578630809400682,0.049762131157519374,0.18906130746113448,0.1901611187383514,0.4406021335709578,0.09572030404747789,0.0394069608189167,0.04197111500463557,0.15024058161754583,0.12493198926120908
BrainLat:CL-sub-30003,0.36312908056941007,0.2832434723578814,0.2442348322488539,0.244631860763046,0.32120587451007654,0.17583867727419356,0.23300424115453278,0.14802466252146762,0.1216562832399104,0.12871040309845516,0.19717750826403746,0.10643920902357795,0.23879472567099258,0.17879084540245116,0.15131893205085767,0.15423324629326207,0.20855631525957619,0.11502822941296209,0.2777889760661214,0.15752406726922263,0.17101874089675184,0.23485430038492683,0.2925265125266796,0.15108761546114668,0.37278959724435223,0.20406694723615515,0.2878502659695614,0.43503449449107245,0.4341878604413638,0.24943635332448832,0.5260696845536852,0.23478592420202316,0.11898427144455925,0.10999315876601967,0.47596287589700403,0.15800019137452015,0.5976844429696861,0.2414812950149483,0.11053099136944056,0.10207444127318976,0.5285702881103207,0.17065782663076923,0.7707565221326809,0.2925027934522866,0.13146416728896715,0.1275600667788559,0.6936566573570622,0.2183053985722221
BrainLat:CL-sub-30005,1.090711775519957,0.8085978104228766,0.49990282611549675,0.3922577344776368,0.6215152216057089,0.6496094291882548,0.7735324863991992,0.5469862137959602,0.3446670058448522,0.23613541916128522,0.4630806603755364,0.5028069178561896,0.8104981939615215,0.524536737463396,0.3259096405171882,0.24842534284612094,0.44434537131697693,0.5008092697332351,0.8885015711437905,0.7881620814191834,0.5756538756050606,0.35813260340859676,0.7913906838299296,0.6589287803139952,1.479506039232119,1.7594432573422014,1.3602185375094717,0.8020603223596896,1.5341638032361513,1.3229192577466802,0.3477209418748699,0.257271493853674,0.1304772108348886,0.08828413334993002,0.18693974821215265,0.19097569106057755,0.12957240338962195,0.10142062548329678,0.05518705455116035,0.05512730579535319,0.07474950857264595,0.06889040621428544,0.0823139818603178,0.04549392504038585,0.030144158130096965,0.04731570543240715,0.0683235156519757,0.032581769723268206
BrainLat:CL-sub-30006,0.7942308519566283,0.4901189783619897,0.46965309111943565,0.5091089374284952,0.8172622174059707,0.5303493314850052,0.4608955981764129,0.2814859305228945,0.255512249712027,0.2724401486396384,0.4961425778087116,0.2890825720956822,0.5722460689344,0.3561473057057265,0.3338179625412403,0.35848116088857873,0.610841447091609,0.3842436291135338,0.4174310703781383,0.24358623451518735,0.20625497163936912,0.21197145230330072,0.414429912601582,0.23696236054274844,0.40652760727914683,0.21134664384823276,0.16965682268076665,0.17796971182544197,0.38166491952973525,0.20945279570933906,0.3794468522968044,0.17931657754861807,0.10494555016249518,0.11219195146669558,0.37987991261116427,0.12872498667784682,0.4335900627528315,0.1713606919055941,0.0878464470369611,0.09431148243928567,0.39681461568969945,0.1289113344380972,0.5071107879835544,0.1973558604578498,0.09415778060982083,0.0995599346405529,0.4737302329298114,0.14463982203404768
BrainLat:CL-sub-30007,1.245728020995481,1.075926657739184,0.7320109499856267,0.5911877567033177,0.8367808975191275,0.6293198197422005,0.5976236747410641,0.5518307036690924,0.34451778367698593,0.2976687013758199,0.418271912712304,0.3545956276519753,0.8762900004882219,0.753721908712528,0.4765132979143758,0.37354747704709257,0.5527407718880275,0.4394975004989039,0.7249343633483485,0.7480806333679826,0.6030376496767587,0.5403709222646371,0.8550650776751061,0.5842732674285283,0.8519641030447298,1.1195458505266935,0.9468448329208694,0.8102340582142129,1.2090559449248306,0.8697519387520807,0.321048965485208,0.3065036149602507,0.18618504823296878,0.23191170769375735,0.2234297997764143,0.1953890244715235,0.20071622200578854,0.13808921231932159,0.12404826627740806,0.269008202722256,0.16298751100562825,0.12108813764869408,0.1430575979466735,0.07062351486302187,0.09036830420086917,0.23666208206367867,0.1446375565861151,0.07953373602367408
BrainLat:CL-sub-30010,0.9287308476190199,0.4971557775647386,0.35065722191583615,0.3097195177945682,0.4249411827999463,0.4321739332398662,0.5053129857957119,0.2906337488120867,0.2148356595343679,0.20424292775320674,0.27983863812108023,0.24735324408191683,0.627401356041176,0.3562256767415526,0.2550981768174241,0.2456158717487631,0.3074936553846568,0.30588100542572083,0.4315847354378419,0.2615700435980568,0.19962052233346816,0.19051050285784732,0.2852785569263332,0.21955966727630494,0.3811458867881026,0.2571293729441757,0.19225481919785414,0.17905306045831804,0.2753288492610346,0.20431707399926236,0.24711645163402673,0.22232344346506117,0.11240503725043283,0.07904453015088841,0.14814967884356944,0.1133300787584397,0.16239912831774928,0.10712017498530235,0.06095542976609325,0.05529882271181341,0.11323403567088275,0.06293254397003034,0.13097101243040932,0.06447930607695551,0.04198056679328244,0.04739883305652115,0.11229774265101411,0.042245854030990015
BrainLat:CL-sub-30014,1.678269072681641,0.9538044203896243,0.6134888230725171,0.48942797131941496,1.0535413197649928,0.750271103676907,0.6311998342408809,0.43631335531049187,0.3189363099517386,0.3001063674847677,0.5059299914469666,0.36921197183047694,1.0334767213069678,0.6292535357228153,0.40179935664079225,0.34271714106691076,0.6788215258969406,0.4713371384389382,0.8236122109735804,0.6285490754164491,0.6334960446323594,0.748196601150974,0.973406092542535,0.6719145787197238,0.6035750911876758,0.5803012416055078,0.6043703441145314,0.8108884590336363,0.6487015349790521,0.5924344755009574,0.30707772405529643,0.28609866351166713,0.15280806479892406,0.11671033307012713,0.19490175081878336,0.17096781374577819,0.21763599022072655,0.13657489067076112,0.0636523466307033,0.04524980532155998,0.13169820467971305,0.08356148784414508,0.19456418896702088,0.07629327176815348,0.03327339010169372,0.024012248919033086,0.11729460950035886,0.056106642819340635
BrainLat:CL-sub-30016,1.2292121099559354,0.6759149999976748,0.4592814667330185,0.4714800156154981,0.84651538888964,0.5369635192433881,0.6437855434019619,0.3462719139883923,0.23441737999541923,0.2477464823099249,0.432540135137752,0.2741597460778593,0.8561893741052327,0.4690089922996985,0.3228554400409114,0.32928027029945617,0.577062554687243,0.3657966605557639,0.5862518449012053,0.30013909318252985,0.2210071178346198,0.24057999771541305,0.40640942849698614,0.2581067397162573,0.5141214894313701,0.2466494613202317,0.17843254484110949,0.21144607750044297,0.3483073096759175,0.22468633837945484,0.48541225319285686,0.17096122518106904,0.10436203882731498,0.12712130713157088,0.337232273039205,0.1586789425366255,0.5168669215847959,0.16741391321596644,0.09904042305171568,0.13600937313029338,0.36690305438783355,0.1649308589494145,0.6041147269550027,0.17938189339718935,0.0983929392873697,0.1429428003551605,0.4175822549273469,0.19192268922934308
