,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Miltiadous-1,1.002263259572004,0.7074688232626987,0.7611899847811501,0.7391743772055348,0.808826051973097,0.7515633748220667,0.600750885523919,0.39759784580777024,0.3788756082098039,0.37767419645924893,0.48255500251943007,0.41083920191277823,0.8234210880061101,0.587524209977049,0.5936847758809178,0.554139858721096,0.6499940674111264,0.6129305367592888,0.49319737065123026,0.31191464132135494,0.29931970223814997,0.31221605148053544,0.39439985722506266,0.322561597460866,0.40857437408059827,0.2385745497484697,0.25075781088360816,0.284944641258857,0.3446199646517738,0.26518656897631576,0.2560891284911955,0.12393461197192979,0.1114698565026011,0.12023190961661467,0.18417853971066966,0.128524269350627,0.22674290308979606,0.12480978138663357,0.09881596077582722,0.09978873624908302,0.16722976365035858,0.11452238767357104,0.266784557065751,0.1304998207868897,0.09199191744859259,0.09291105417940937,0.18645149125430627,0.12449002465980419
Miltiadous-2,1.156824798382119,0.6066912071936499,0.7085554518476433,0.6040240022526191,0.6607310561317181,0.6327383703563585,0.48920282098487555,0.29242571264986905,0.4005323616339296,0.33893785129199894,0.37347965246406134,0.34262643644631163,0.6309564324808767,0.3139858927942376,0.3799462499746895,0.33541738112586517,0.3965863851564284,0.3465316450304574,0.5960770346923285,0.5097460233335416,0.8106630111496533,0.6958822281506849,0.6933436654720166,0.6330330121908272,0.7759311329831784,0.7562273342606634,1.113204170098498,1.0110626468961454,1.0042723464847136,0.9161167748274028,0.3727109753663129,0.19577379213160984,0.19802399379026925,0.12662878600690908,0.19368288547135126,0.18569284440770661,0.36760090204053975,0.13858685454825204,0.09375817913491047,0.05174975891899258,0.14212356307079554,0.13565124857923916,0.32644413990404164,0.10137961871112133,0.04473173237925221,0.026388314558598136,0.12532033681752397,0.09757742359556643
Miltiadous-3,1.0205112719848306,0.8319732674136135,1.0459510853782596,1.0476427173908855,0.9230967843887388,0.7515806915816186,0.3947515784882061,0.4642932336667238,0.6010710969212858,0.5732391272295267,0.47267694428002094,0.4205250115857213,0.6992346620648366,0.644433678636628,0.7686612584318893,0.7184009747621003,0.6344872073816263,0.5766608593775389,0.46187518515435677,0.7254216071742856,0.9481744386851667,0.9838682007368,0.8638898578268974,0.7110807902459728,0.535302180612959,0.9880949715192966,1.4826596200135445,1.7106461236985955,1.4122213243087365,1.1270909521174821,0.08444096579165072,0.0887698411102289,0.1170536551130732,0.10148413456869099,0.08642559745694567,0.06914777723073606,0.064479726440414,0.05680365186616032,0.05406231661715344,0.0409328455889173,0.04717569432583324,0.03805291400715327,0.05022514509753506,0.03486027951960491,0.027217793693756098,0.021240726660186393,0.03295292164839525,0.024349257659411094
Miltiadous-4,0.5459017138078581,0.3269417377805546,0.31611549485568524,0.3157728123274297,0.3373973251710738,0.3142191996787087,0.5579256671711965,0.27371294258866374,0.22513904380227556,0.16661788486860174,0.3813403435588645,0.33703759707603287,0.5313059383604541,0.32206667206315953,0.2740635750251663,0.22098645849513554,0.3400589983398854,0.33869414389093677,0.36530534196774034,0.16791841322189294,0.13944561581764203,0.1134691913396697,0.22331862909251998,0.19185565375084424,0.25553475524576896,0.1251633304176516,0.10323626804537733,0.08554967705325245,0.1417548692173387,0.12221257831551147,0.5158302006802444,0.19398195644938832,0.07727400582879551,0.050242297875924935,0.2820335330015058,0.18272662782119897,0.4774520331666443,0.1654105881409078,0.06242597327949784,0.04257383747131249,0.25982027043312117,0.1593345168083784,0.5960498117443467,0.1998097226689748,0.064289876306042,0.03907103913286192,0.32123976059006387,0.2036425502865269
Miltiadous-5,1.6374274582628114,1.0318031696725298,1.0712406763687032,1.1174289303978817,1.1663686871741317,0.8874462055843868,0.4870164799016776,0.2876020924770386,0.28169408622215775,0.29013533718690443,0.4366937601631635,0.28445969846681973,0.8727037521526582,0.5652576484931224,0.6027507811721098,0.6024271296563868,0.641717671893655,0.4755097668806665,0.4603853628385608,0.25826783694966116,0.26240351072425616,0.26029410730608427,0.4092060443420913,0.270274262817505,0.3256268726718745,0.18212894360664866,0.17771037621379548,0.1835815285719713,0.2882229285752458,0.1931174851104076,0.1800931637182741,0.09550546206763122,0.06925635709498379,0.07186893489394919,0.13944566161559568,0.08361066187560118,0.2240918443358766,0.07390034819488589,0.0435508949867347,0.04115146520348034,0.1234281629245344,0.0771290775040332,0.22833216002340562,0.056927328873947136,0.03423515139829281,0.03797068938600212,0.13362037371664393,0.07175502002516843
Miltiadous-6,0.7032042701133219,0.377563565965225,0.3326411904860278,0.3480377373739043,0.5920002030395126,0.38131943678273683,0.3649745716507742,0.18933122649781264,0.21772978594222092,0.22490925303420273,0.3000416883944932,0.21607760295138134,0.39495688355005143,0.20918229019769474,0.16907748779873155,0.16943768445951135,0.2913070701141005,0.2004300364665581,0.4591806097072151,0.6480331795341308,1.0240075451538369,0.987558750971828,0.6225306551545544,0.7202418220106457,0.48182173379234605,0.8031692010599147,1.0922028087244438,1.0894315825076455,0.6632421801869619,0.8684614292465582,0.2931873422282616,0.19729196835868712,0.1523582478915999,0.12756518434348685,0.25215765394071665,0.1604611288357931,0.3227069914924343,0.15223497071741643,0.10205684304646323,0.09021284164842558,0.25125466092496995,0.14578806577138814,0.332866519233622,0.1035879062871583,0.06194927980058629,0.06367222587923482,0.2789633836108145,0.12736900093719594
Miltiadous-7,1.1112308633517523,0.7648327855890209,0.8450205644382212,0.7207797758691767,0.8587687770676584,0.744206292475077,0.5134551028681671,0.48489808641456555,0.5790316688057684,0.4799890971675569,0.46204460026211813,0.40965955050094927,0.8104011451094117,0.6596763063514919,0.6872252799607936,0.5579563408552639,0.5937362893401879,0.5735425882735101,0.41209113210536796,0.3793904694406407,0.44002455417488173,0.3736616523386067,0.3689718667761084,0.31265046186180334,0.35099758856017393,0.2935154374475297,0.32984030960956834,0.2707188220631944,0.2880474560186941,0.24074909885863605,0.2290206953364491,0.1267365705566541,0.09846708047891117,0.07684731858538152,0.1334727467249679,0.09947955568122735,0.23681952069080792,0.11126541940131052,0.07202794018250103,0.05462429473304797,0.11855967503069542,0.09103630197488322,0.2434836173062067,0.08910111601971504,0.054281204156813034,0.048194595472237145,0.12150298706877138,0.08675491714254124
Miltiadous-8,0.9332956750377204,0.4718208433389828,0.36192423670191287,0.32738759241691806,0.5301026077342288,0.5614969518231823,0.34224385515367906,0.21869665035992325,0.1315193106143553,0.09475970703708958,0.17759123691330392,0.1905715781470878,0.46452061071779016,0.27202934272979484,0.18670338450632085,0.14254808090015825,0.23741851269407088,0.28154519250050747,0.4369061228921318,0.3049904203808098,0.18192870718480103,0.11152297541015432,0.22460929999045587,0.24398394934842815,0.332112375605927,0.225776040121362,0.15608450866899992,0.08283250414076915,0.16795409571462994,0.18488622049209735,0.23913821606115215,0.12109057879190632,0.06239017770061217,0.03059212976704906,0.10054185202401777,0.09217630937022836,0.21417659363732544,0.07146751288062747,0.03334057889119113,0.017763153005115218,0.08676646748877226,0.06721397642060434,0.23900121586318468,0.05005869516085326,0.01999966931122721,0.014264614884021087,0.10224015621821625,0.06515827547549358
Miltiadous-9,1.687551631791969,0.7078233469581434,0.6091363762941508,0.5327163064525988,0.8895360097656422,0.7756143669129789,0.7749530526771382,0.47232015036071795,0.2553604770118121,0.19027227022292004,0.37758049104896707,0.4402411379262139,1.038807259710401,0.4662379292574166,0.3605914694166832,0.32342986150321185,0.5671053178984966,0.48898428453036447,0.6696658391667802,0.7157691356795548,0.47041377608630786,0.35561794473598907,0.5169085481776747,0.5451910504121886,0.44159230922463766,0.4771808717058126,0.4954641354718632,0.5180073758698789,0.5612460337827465,0.4938384366477222,0.3021675908190231,0.22006575713552112,0.16049489223729285,0.13329513682341876,0.26089435100505654,0.16682353382339254,0.2503666304426331,0.16676575864653853,0.10781054927148825,0.11809289039120863,0.31491291395562415,0.1185263121947866,0.19527457940151827,0.0945183924658548,0.05927879122011914,0.07361596270530057,0.22536986993375363,0.07677152167277868
Miltiadous-10,0.5792316015720287,0.4980031381515684,0.4785897474235943,0.40395497064949826,0.4492541689183962,0.3425500676621931,0.37107247697152346,0.2622945536478496,0.27295873527504244,0.2715760774759517,0.3104336209581373,0.21842424881226585,0.3876096060894514,0.31626346722004506,0.29416863354473666,0.2682931046139925,0.28118606835008797,0.21618041701966617,0.39561005065060595,0.33174106833357553,0.49780564545318673,0.6138197160426793,0.5713968109001035,0.3961027298831048,0.3513154303449948,0.30433853490835716,0.4379341316686616,0.5223026022168502,0.4761866723465711,0.35614680923644126,0.29965016319394033,0.22828126995801856,0.2417892448730692,0.25176542572140237,0.32706899917722354,0.18554689422665605,0.2649070316671174,0.16432703984796637,0.1302700291614498,0.13403877509029538,0.2865992041327199,0.11997854249560169,0.27160855230342285,0.1636132802502961,0.10749858906234899,0.101046803602866,0.3048756742386107,0.10708078199261428
