,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Miltiadous-1,0.8394846207251336,0.7557709539793378,0.798318871205858,0.6683541952042784,0.8007232391451358,0.6175308774852444,0.6362386946126293,0.506992781795923,0.5144994846407351,0.47314253602998524,0.6207534584628673,0.4249345336269579,0.77588826000958,0.6825650569445378,0.6926858454890332,0.5841878106806917,0.74353419730812,0.5643009302531341,0.5519195896701663,0.38775781349912064,0.38533959076330637,0.3667464224453114,0.4759755069671461,0.31877797004414754,0.4871134905739394,0.3065204839961866,0.3085838350304586,0.31659244655191165,0.40755143144771244,0.24315571833988625,0.2378753577928101,0.16864246891774992,0.16085944136517716,0.14856532175867332,0.2155881128346988,0.11920729146263276,0.18479724924013818,0.15583419169584745,0.13778063503818183,0.12438250379951676,0.1840414187193382,0.09419356738798679,0.21500113643230367,0.14823747980821067,0.12300385108851097,0.1077175601963618,0.19975307146175614,0.09624194287521992
Miltiadous-2,0.9698812447772898,0.6401735288690396,0.737718651859318,0.5436368616547282,0.6417058150997792,0.5137085824902532,0.5182081855537832,0.3763307732527845,0.5401077446701583,0.4322145004574085,0.4711107288269607,0.35332283170721435,0.5900472682344491,0.3666228272357923,0.447428870439744,0.3624791994758707,0.4426673757479216,0.31234000628421144,0.666624261814242,0.6231293033426732,0.9882380824925365,0.7895856744625769,0.8132319552801508,0.6211120006794213,0.9626293217969057,0.9438162943956652,1.293331544450611,1.1178292475091967,1.1279711975581286,0.8922119109954005,0.35505863643156554,0.2498121913496285,0.2596996967172771,0.15523786295401765,0.22152578642761234,0.17659686362036542,0.30927339117118335,0.1645017965177329,0.12611542209718252,0.06905845463508342,0.1511535749304047,0.11502065471133771,0.2709161884813498,0.11150270648916627,0.056553148979175516,0.03640750060764608,0.1267115686709508,0.0772180766114714
Miltiadous-3,0.8507561157502426,0.8862807737493676,1.104641427662231,0.9384924961645378,0.9382671984803499,0.6161740190563139,0.41840314879975904,0.5922851793527124,0.8178025559789388,0.7169779354680872,0.6277598262565587,0.4380026108728987,0.6550346624580898,0.7478899082901003,0.8934650722081123,0.7501513631429322,0.7416750199350668,0.5285124648663331,0.5238422314405751,0.8947596648751781,1.1610978863081436,1.1155409846187263,1.0203057251040688,0.6959321502437896,0.6672189705388265,1.246709503674651,1.7324991156387624,1.911677596755518,1.584795788761435,1.104061570655289,0.06495118812086953,0.12077722253513645,0.16841402921291215,0.1294926217289869,0.10397171040327846,0.05940173407804461,0.047814807517527314,0.0634414607551903,0.07666235809906952,0.05791580680980313,0.04865329883287539,0.02748740673367389,0.018963603542034635,0.0339302232631884,0.032437709887971344,0.031267942573324214,0.026460779041150406,0.0167870892737354
Miltiadous-4,0.4422548591429212,0.3277029267403557,0.3100247307370205,0.28936188284958275,0.28805934060018235,0.23769264124754685,0.5912765026043649,0.35155188209914123,0.3067470818066025,0.21093227575201245,0.47866313638161295,0.3465251153995337,0.49490649706622847,0.37444797827952736,0.3265132827049533,0.2466080971464284,0.3708179355696708,0.305767551595548,0.4108406263569908,0.21549387101693962,0.19567957506005573,0.1473877616642687,0.28097030822419033,0.19175956150290596,0.2958568920609219,0.16901932414161958,0.14211089486338913,0.09753489483702693,0.18684508813570333,0.10082157771925004,0.5030801241714065,0.25260818481339053,0.11942603929669326,0.07586235780130757,0.34147951538315846,0.17377978293308938,0.3948685924794433,0.2040370906425757,0.08730056761183858,0.05929942876361638,0.2873403089061266,0.13449536788631145,0.5112130981133609,0.22941290673645587,0.08610174037650387,0.05021525797983939,0.3509178675971458,0.15946215551328935
Miltiadous-5,1.3763524837060603,1.1153767267357333,1.1328914380863644,0.9989103832633521,1.213274790198382,0.7324556047287667,0.5190211218539245,0.36846256105396424,0.3828978283721227,0.3607233935979155,0.5756596279515376,0.29201248745253605,0.8212568261973585,0.6546545112996565,0.7009345970074792,0.6328330622509641,0.7506782308989461,0.4336461384926691,0.5221867702324965,0.3257686439568215,0.34106217892076685,0.3096943286545224,0.49660575260819684,0.26760520921457487,0.39847049648986976,0.23884134307025628,0.22610623337308455,0.20610881326104225,0.3471732177083833,0.17151093049345545,0.16184715324963284,0.12916210638279613,0.1123655313316585,0.09870960806200779,0.1681665186396355,0.07398885493570684,0.18324608933908282,0.08498299824023747,0.06287850446587151,0.05816241498210806,0.134463096879045,0.06194779252831606,0.18076355413544487,0.059607334590693783,0.041621855102886185,0.048994121892846465,0.13901123705776186,0.054715410497696126
Miltiadous-6,0.5800897110247094,0.38417296546025215,0.3283987381262956,0.3185271354024557,0.5627945323490233,0.2967346363291614,0.3804128195679455,0.24644272917624765,0.2987692498013417,0.28888158649021434,0.3669410528021997,0.2170021221567997,0.3640371597010983,0.2439646033550784,0.20802506092201267,0.1943889352143091,0.3107517264505053,0.17560471610233486,0.5143529393655728,0.7954395212606358,1.2526979082885354,1.1182929483028201,0.7356828172939838,0.7053750237622063,0.5801619662008213,1.007628918981427,1.2734430850465017,1.2048374473980799,0.7550471739913336,0.8449871168314391,0.2756111522981872,0.2595905932303644,0.2084212532274745,0.1561980686732276,0.29378544114418004,0.15138837417197126,0.2655492960133716,0.18999244053334752,0.14114529273876864,0.11346763907157809,0.2789178356351545,0.12198923135741313,0.2749446994948257,0.11620318947080244,0.08343016170814033,0.0765174171760179,0.3039937787493878,0.09895360524806596
Miltiadous-7,0.9306727221110491,0.8197530446047141,0.888737433388433,0.6469570746842701,0.861435958129356,0.6095224523829239,0.5448546918508972,0.621146043376674,0.7849803978574823,0.6084958151180067,0.5985631690259636,0.4253530193653343,0.7620899550826321,0.7716247334947599,0.8016246591511005,0.5878028763169851,0.6836987612741121,0.5254799914754904,0.4626438958368877,0.4653911169618048,0.54556712013373,0.43230106587478434,0.4431387970153955,0.3095450771317232,0.41469505943638474,0.3693753091123517,0.39403525130220496,0.2998114528671889,0.3441800194703972,0.21846766944162432,0.20917356151307254,0.162718818728242,0.14252918812890814,0.10350070841772308,0.14712082802101634,0.08956921818776276,0.19988023817144973,0.12960495681265916,0.09720554573662521,0.07227311087029009,0.12440024503611169,0.07593560041514369,0.1960918365856772,0.09700416649447785,0.06915575944898067,0.059479610701643315,0.12224126633575128,0.06871841357391095
Miltiadous-8,0.7765687637865566,0.48074381809873357,0.3538672294183254,0.30211330254616264,0.5010060925003064,0.45297025425912385,0.36009799677630494,0.2822576345246366,0.18831532792585115,0.1352832216391151,0.2177434762281234,0.19133429806479896,0.430089860223662,0.31305170096866797,0.22631526604478247,0.16705353134432177,0.25574132219918244,0.25166852079301005,0.49594798453403555,0.38273392613116775,0.24953931651358752,0.14772575867211946,0.2885891511449943,0.24169028472764986,0.4066464631525404,0.2926343380351708,0.20308209339313543,0.09795679167179139,0.21738290265417537,0.16345761968366657,0.22174306106773556,0.16454590973797312,0.1055008415715517,0.05581508216163633,0.11752863373543576,0.08274823432370138,0.1726304717539957,0.0859899675959428,0.05127829556060415,0.03233459381928494,0.09470077245104735,0.05237467906906357,0.18964105966793676,0.05253271046869745,0.026714691485887343,0.02414456614713667,0.10531712860580433,0.04861606532729379
Miltiadous-9,1.4215790827579906,0.7549293833153763,0.628355755336971,0.4801831980442355,0.8953022215807589,0.6366068618808525,0.8316597976930562,0.6044373391674103,0.3461459927659798,0.2487955770743273,0.475338706143847,0.4580894599374792,0.9808989942105584,0.543470546839403,0.4252796144165607,0.350343549868221,0.6500518902076282,0.4463537567203051,0.7486439641585192,0.8759939483331822,0.5814191470262611,0.41239305562551887,0.6115145386191052,0.535873850443848,0.5289872043233652,0.5946226075982146,0.5818080459786632,0.5700619233051409,0.641710302428862,0.47053446713070324,0.2834124105988973,0.2810274368053385,0.21555782835736825,0.16216905816190352,0.3053776061255089,0.1575587069131521,0.21076555344648318,0.20077751126958976,0.14498831188807038,0.1441874579598863,0.34796857800835457,0.09989095653379154,0.1522277980075193,0.10356727193774962,0.07564375404175894,0.08651500068005702,0.23957931027414991,0.06055108214420746
Miltiadous-10,0.46885610837457703,0.5095570353266083,0.4795231657456196,0.3720539342311,0.4142039128067503,0.2620947439052814,0.39249441158016896,0.33677274868920937,0.37147177769949247,0.339263865635121,0.39720152863027236,0.22144034634847243,0.3557944441658807,0.36482791648938084,0.3476423169085274,0.29448492855681874,0.3101020324357615,0.18945394185651065,0.45030024015932635,0.4138021595111112,0.6187236565345864,0.700904383800935,0.6823881134816243,0.39016980996889195,0.4309702390864194,0.38673693317248037,0.5196581600818142,0.5761355840389801,0.5520195859336552,0.3337875398151424,0.28352103532951256,0.2970616170028624,0.31624195412442746,0.28586990249384825,0.40426818112858176,0.1769125094297821,0.2170371366668684,0.20096806265127887,0.1779994717269151,0.1635408729077048,0.32062189284899123,0.09946964013715132,0.21976062264412533,0.18510470273913193,0.13993934489619297,0.11598596383320059,0.33341215905230515,0.08266237661467368
