,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
BrainLat:CL-sub-30003,0.36312908056941007,0.2832434723578814,0.2442348322488539,0.244631860763046,0.32120587451007654,0.17583867727419356,0.23300424115453278,0.14802466252146762,0.1216562832399104,0.12871040309845516,0.19717750826403746,0.10643920902357795,0.23879472567099258,0.17879084540245116,0.15131893205085767,0.15423324629326207,0.20855631525957619,0.11502822941296209,0.2777889760661214,0.15752406726922263,0.17101874089675184,0.23485430038492683,0.2925265125266796,0.15108761546114668,0.37278959724435223,0.20406694723615515,0.2878502659695614,0.43503449449107245,0.4341878604413638,0.24943635332448832,0.5260696845536852,0.23478592420202316,0.11898427144455925,0.10999315876601967,0.47596287589700403,0.15800019137452015,0.5976844429696861,0.2414812950149483,0.11053099136944056,0.10207444127318976,0.5285702881103207,0.17065782663076923,0.7707565221326809,0.2925027934522866,0.13146416728896715,0.1275600667788559,0.6936566573570622,0.2183053985722221
BrainLat:CL-sub-30006,0.7942308519566283,0.4901189783619897,0.46965309111943565,0.5091089374284952,0.8172622174059707,0.5303493314850052,0.4608955981764129,0.2814859305228945,0.255512249712027,0.2724401486396384,0.4961425778087116,0.2890825720956822,0.5722460689344,0.3561473057057265,0.3338179625412403,0.35848116088857873,0.610841447091609,0.3842436291135338,0.4174310703781383,0.24358623451518735,0.20625497163936912,0.21197145230330072,0.414429912601582,0.23696236054274844,0.40652760727914683,0.21134664384823276,0.16965682268076665,0.17796971182544197,0.38166491952973525,0.20945279570933906,0.3794468522968044,0.17931657754861807,0.10494555016249518,0.11219195146669558,0.37987991261116427,0.12872498667784682,0.4335900627528315,0.1713606919055941,0.0878464470369611,0.09431148243928567,0.39681461568969945,0.1289113344380972,0.5071107879835544,0.1973558604578498,0.09415778060982083,0.0995599346405529,0.4737302329298114,0.14463982203404768
BrainLat:CL-sub-30016,1.2292121099559354,0.6759149999976748,0.4592814667330185,0.4714800156154981,0.84651538888964,0.5369635192433881,0.6437855434019619,0.3462719139883923,0.23441737999541923,0.2477464823099249,0.432540135137752,0.2741597460778593,0.8561893741052327,0.4690089922996985,0.3228554400409114,0.32928027029945617,0.577062554687243,0.3657966605557639,0.5862518449012053,0.30013909318252985,0.2210071178346198,0.24057999771541305,0.40640942849698614,0.2581067397162573,0.5141214894313701,0.2466494613202317,0.17843254484110949,0.21144607750044297,0.3483073096759175,0.22468633837945484,0.48541225319285686,0.17096122518106904,0.10436203882731498,0.12712130713157088,0.337232273039205,0.1586789425366255,0.5168669215847959,0.16741391321596644,0.09904042305171568,0.13600937313029338,0.36690305438783355,0.1649308589494145,0.6041147269550027,0.17938189339718935,0.0983929392873697,0.1429428003551605,0.4175822549273469,0.19192268922934308
BrainLat:CL-sub-30019,1.2904273595810425,0.6761674215085689,0.3615597947940776,0.34003544428722887,0.8038202119533162,0.5547224175832768,0.6396559806228177,0.31495081516415135,0.1790581884589657,0.18734258683750116,0.42497257933109767,0.2639270599646204,0.8392557509233924,0.42428109942336456,0.22185969413771667,0.20719314241774,0.4994964166321687,0.3426469183553089,0.6161647145347244,0.3087089240890015,0.28898156686858023,0.401387488205472,0.6198466310324608,0.3311721396649492,0.5750120083781023,0.32582013715413405,0.4002750481524895,0.5593168618450379,0.7442899835548873,0.39285406089636754,0.4461733067968068,0.20800480205846772,0.11981345288449474,0.13073707439301785,0.373320947196184,0.15811368834604855,0.42614777689595984,0.17829869837189238,0.08548267357442851,0.08944802649898254,0.33328928282970605,0.13214269066718654,0.4492128668076798,0.18077891179796945,0.08331790297258701,0.08936435704839352,0.3873456887855733,0.1299479259971923
BrainLat:CL-sub-30021,1.6135039757850875,0.76466197363522,0.8015074072749646,0.7321527920721529,1.1236755881518588,0.7539847715844274,1.0251823953412273,0.5629043689935469,0.5483176401935257,0.502492382033016,0.8252284118412603,0.6149011963497,1.0979717927993082,0.6023983826220061,0.6146006858983704,0.5653900074954545,0.8046543994569113,0.5674571636481853,0.7882661031143647,0.467958163311589,0.4945827508835483,0.4788444412947823,0.7340711992423499,0.47668340399421316,0.607674875215118,0.3962334523272546,0.4389685935793235,0.46125224061875714,0.6289557029368178,0.388114911483298,0.30642798453605535,0.15516843610978026,0.13414392366903294,0.12670992620652943,0.21702037683076925,0.11604076125852814,0.26058754919246874,0.12092968490993483,0.08951344824354357,0.08677966601861398,0.166517723482297,0.09170059856673274,0.22444552970637344,0.09251136944395943,0.068129327810865,0.0718184059560345,0.15733530539964358,0.07129386731881993
BrainLat:CL-sub-30023,1.2215460710424089,0.8163316932579918,0.6993258210254829,0.7420672650088951,1.2682192715178382,0.5297891220866306,0.6502992515342989,0.4324006310821418,0.3512686512889234,0.3940071671149252,0.7314253727087763,0.30614030330297126,0.8468046721228621,0.5711504337020303,0.4642186423910728,0.49701212566518227,0.882749425429108,0.3474295733680315,0.7397718304049097,0.5232547722283325,0.46514014826466865,0.5188026684072102,1.0007505472829141,0.4302357330914195,0.5934535302487394,0.5001386904436218,0.5482117830794548,0.6258153460295979,0.9975575361743709,0.4328717329624887,0.3419109267110294,0.20395405863055838,0.15030785953013592,0.17517546874534506,0.3176214203878873,0.13929664070456504,0.278289383572931,0.12414864135842785,0.08712091795316224,0.129960788048181,0.22467471339995781,0.09577215018154717,0.3206260765976965,0.11781280891353352,0.07363834342277675,0.12565146927809367,0.23324985840320855,0.10049674022204091
BrainLat:CL-sub-30024,1.5698415905741205,0.4635678564403305,0.26630660320714505,0.22781019204549025,0.7729079603367859,0.5696693623522697,0.5127273541357391,0.15184305215032778,0.08920479901896905,0.0836398682770425,0.24159510473644707,0.16330348800800643,0.9172811223054409,0.2711584102573623,0.1572199327749697,0.13536884888718492,0.457268337759021,0.30481576041099046,0.3700713689540409,0.12074439122892522,0.08095061624008149,0.08057868903808152,0.21260014579554243,0.1270329583924048,0.30648784397594997,0.11464145556785477,0.07716411552130098,0.07637249225486475,0.20272713207192683,0.10520554339242882,0.45198582587948355,0.11727177988934612,0.05470092748198696,0.045049601912561466,0.28392276074445477,0.12270918064600833,0.6067179496447783,0.1433546518401192,0.05477452853222853,0.04109625910965087,0.39513895768421703,0.15911568342698734,0.5540178956805304,0.12684336898446036,0.04614014258563226,0.03461033500625388,0.3612179092612442,0.14166520733100096
BrainLat:CL-sub-30027,0.9337131187875725,0.6508524365112018,0.5169976098147149,0.48211338110861446,0.8367827334808908,0.4961338839306648,0.41123384355438874,0.279042566114313,0.2325781526050612,0.2501732175638429,0.41390270528370765,0.24056291048425082,0.582966001637024,0.37798467399911706,0.272009176855023,0.27442275064258426,0.48611474447185166,0.30510419552438806,0.4068984913998539,0.29647456511638626,0.31820937522616943,0.37007134109658724,0.53787603498562,0.2966294192046073,0.5281731941687839,0.46565113204343844,0.4932707259783329,0.5400283331056297,0.748898697700662,0.4449066323574442,0.3875465707443084,0.2056508271357096,0.12268499527379739,0.11477071375713366,0.3410370053818714,0.14880246510311568,0.4351230109672517,0.23961055717582735,0.11860452271358546,0.10894971096269312,0.44122599132631635,0.14436152705143712,0.4588646936027698,0.24192764750552542,0.11307081036048583,0.10515874006966563,0.4703709466226045,0.1415785863089163
BrainLat:CL-sub-30033,1.2077615906907746,0.5933319332122615,0.5180842245743511,0.6642120833376814,1.179284740029218,0.529830475700706,0.4727115682836729,0.2763346904155157,0.3014269876929181,0.4185512229788171,0.5270172741460724,0.27694346733211717,0.6732566456790423,0.3529495614383107,0.3385433804627713,0.4743299097721845,0.6911154607385597,0.33487019609707236,0.5781166309889623,0.4212651388711506,0.8781256189823121,1.1885815753869209,1.1540030947778588,0.7693790290646594,0.6170776448631796,0.5693484458919249,1.0268990600835206,1.3773336878986693,1.1788324859355388,0.884877349626517,0.2602120196346889,0.17078189513589415,0.13879323411278688,0.1398134334558392,0.2591389537535058,0.11918859537082982,0.21807421761364698,0.123658530695123,0.07507932374312332,0.061605649911127935,0.16788011793239033,0.08188008988311979,0.2086033386821322,0.0624465745413898,0.04112213826507949,0.043146998689125526,0.1727511624932767,0.05549660902974818
BrainLat:CL-sub-30035,1.2888951272938987,0.5432533813001896,0.3197587139020719,0.31332942913377715,0.727160672864408,0.5016558428034235,0.5098356575692045,0.2427133614915602,0.18668363794648268,0.20641504435808167,0.3627367059173725,0.21857656073852727,0.776688626932796,0.34238736197846187,0.21947925542716873,0.22238681964623241,0.4606364663471123,0.3003648553217162,0.47812182626995847,0.23510480869019545,0.23348321706885145,0.2892455814400301,0.4625906944636673,0.2341382932670213,0.469523288067742,0.2730920926141116,0.3319384474515381,0.45488914474652287,0.6172121494526248,0.29113496876468425,0.44575696489948635,0.23348129783684635,0.14639532271143074,0.13079841641750423,0.3478798362419442,0.1588407524041815,0.4619671849015876,0.17756697893693385,0.09437506025747755,0.09916312000751581,0.4114045404537532,0.12595031367959897,0.5381347682554896,0.1815381421674498,0.09106988385487891,0.10259885274121938,0.4762375973550528,0.1394613023924589
