,Delta_Frontal,Delta_Central,Delta_Parietal,Delta_Occipital,Delta_Temporal,Delta_Limbic,Alpha1_Frontal,Alpha1_Central,Alpha1_Parietal,Alpha1_Occipital,Alpha1_Temporal,Alpha1_Limbic,Theta_Frontal,Theta_Central,Theta_Parietal,Theta_Occipital,Theta_Temporal,Theta_Limbic,Alpha2_Frontal,Alpha2_Central,Alpha2_Parietal,Alpha2_Occipital,Alpha2_Temporal,Alpha2_Limbic,Alpha3_Frontal,Alpha3_Central,Alpha3_Parietal,Alpha3_Occipital,Alpha3_Temporal,Alpha3_Limbic,Beta1_Frontal,Beta1_Central,Beta1_Parietal,Beta1_Occipital,Beta1_Temporal,Beta1_Limbic,Beta2_Frontal,Beta2_Central,Beta2_Parietal,Beta2_Occipital,Beta2_Temporal,Beta2_Limbic,Gamma_Frontal,Gamma_Central,Gamma_Parietal,Gamma_Occipital,Gamma_Temporal,Gamma_Limbic
Istambul-falames1,0.6209655493564905,0.8897320293117199,1.354133193431808,1.0887714700631945,0.9345419546148754,0.5849065588774087,0.30406257434848194,0.2764446698061709,0.5484943139490273,0.5959901081072572,0.5883842610787398,0.327316634286686,0.3911839950097613,0.4552401464334843,0.6847039787196949,0.6313786240247017,0.5935375008997772,0.33251146447581603,0.5633368022136065,0.4189920238422993,0.9243836703208368,1.0401610080414425,1.0567821539197721,0.6154971935644127,0.59094453412523,0.576791712944819,1.4709282922623235,1.8004561188241022,1.3592838141505599,1.034284367709192,0.143985478525952,0.11759485048392793,0.178241597190691,0.171230777683113,0.2301038238274078,0.1051736713077569,0.0997703364066942,0.08595405786413401,0.07811159223878539,0.07330123606868,0.14654938911447046,0.0498213381407997,0.11375918861903944,0.04104825397205447,0.04775832534274249,0.05852384177341863,0.18100752203013992,0.03386961379643916
Istambul-falcehl1,0.6820017911388401,1.2363709506301195,1.261260476762022,0.8067083219042694,0.6617123194081433,0.5334041006917825,0.4513910413888258,0.6331373240234421,0.5742043550430356,0.5255100158997581,0.3980724490767886,0.41801181980216584,0.45748478026517225,0.7842378409073965,0.7541856576061621,0.5591107651236025,0.48286439952674387,0.38580430952170186,0.4909725840222634,0.7090978345352592,0.9849787446601255,1.0104890583565695,0.8420170927518982,0.6676205369808887,0.468078243680651,0.7476101555986043,1.2186703555242153,1.3540962815698205,1.1002303891971938,0.800700652343459,0.15566574329591543,0.2923375950538243,0.23201807744586556,0.15584070192204247,0.16089133834770997,0.13476151451918295,0.15272183334283462,0.27712050342612415,0.17040885748575407,0.10017142384364086,0.12866178403623918,0.12212385413958593,0.08457830694940793,0.1360185577443196,0.10750700877127972,0.0667019617816218,0.08159962252748443,0.05678845512472708
Istambul-falecir1,0.5890512923836324,0.35707090786757556,0.41243781847934624,0.48850227075032704,0.5800963995457142,0.361900486671745,0.620086495020149,0.35037687363123426,0.5405937770906204,0.5271003423115972,0.5932712485344449,0.444487544054736,0.7619057311130979,0.3274979877678914,0.3737624498736114,0.39666403849146814,0.6401863382553155,0.4187401529228043,0.768856856348237,0.5879621818726826,1.0532004907197985,1.1068196610626022,1.0978033767887245,0.7463619711685552,0.9674702914261015,0.8876902030080116,1.64418754475694,1.8199440451494069,1.4200115725630464,1.1104503640744339,0.20248131081701248,0.21820817294632144,0.15569526515059318,0.12556269411737797,0.24372939116854853,0.11335856641307251,0.13399379548233714,0.11482968685749784,0.07496799087800232,0.06874032573429067,0.16911465310676066,0.05582067374945976,0.15327734421012162,0.09368619515397358,0.06474348589729462,0.06054058345690483,0.21192576887723336,0.04704053128672525
Istambul-faledev1,0.6385161870238341,0.5221640858057102,0.480470881803716,0.3306099391167645,0.2881189806930331,0.3145743317175782,0.5856673760979885,0.40780140881505145,0.3475675664208355,0.2723227311937908,0.25293363647178446,0.2751626221674286,0.8087674523144925,0.5260418462464811,0.37336538564283694,0.2419644057841992,0.2572269607680875,0.36273922342192555,0.6411914894355251,0.5929605968405622,0.7924389379902776,0.7974098063924335,0.5683472432636825,0.4938223313274701,0.6739300285178258,0.7420200024898265,1.0496753661313565,1.097425038299356,0.7398690285254426,0.6264526979514689,0.43229275031520165,0.3304684355524541,0.30603468439650006,0.22614953614599465,0.23773127824486506,0.19641768941567328,0.28492994606000255,0.19724213657174805,0.1522119397583801,0.09726763893052914,0.12244287131984799,0.10942549949392277,0.30074399522873363,0.17788228713729382,0.0983401588592645,0.06284375248062934,0.10700973419122217,0.09919426324492253
Istambul-falekab1,0.9113677774749218,1.1962884747070497,0.9086608367461853,0.592259683245373,0.7129037642349676,0.5652395984086638,0.3990930965340356,0.5165324849102437,0.3767323297988807,0.26535683310283353,0.32071921979625184,0.2560916079155171,0.6026777173813893,0.7688032616230296,0.5804459981375916,0.38431902716830413,0.48919222154113284,0.3622409078828066,0.4192692779197764,0.5183918832149561,0.5712146416103325,0.5897884588590936,0.5089441709001989,0.36661833382629383,0.44762254720420436,0.6429162765459739,1.0080498340177972,1.2455987247627855,0.8397197847878983,0.6057479073041161,0.34995191848177765,0.3360647125799634,0.28545334772487574,0.22423187158992586,0.3293752900059945,0.18692211729606223,0.26298279581827755,0.19796325219388078,0.13930636612851144,0.1125235216123821,0.24263864291863735,0.10015434397556344,0.22386959862851663,0.11827111437201898,0.08776279417639565,0.08856770289305116,0.2282726751393649,0.06876300083070475
Istambul-falfsev1,0.6294402487594084,0.2625142774291169,0.38036029709941843,0.3865795715390967,0.924213050327797,0.2259660249412485,0.40215930176539194,0.1442465154110255,0.18606108477352135,0.17818693434785637,0.605123114015834,0.11514744362965934,0.5160293931139412,0.22094603139308733,0.3164700897467745,0.30680244012768454,0.734996156101162,0.17848160283390557,0.4131556318128853,0.13515944026574367,0.17429607696338034,0.16954945154663625,0.6010496893567314,0.11016450934103106,0.3990322439922984,0.11834813931151267,0.14488484564906057,0.1377541644504825,0.6055681213766009,0.09761337429506067,0.4227967049285506,0.10951238771904048,0.08584414984018829,0.07233717072528956,0.6592197740527415,0.08332629243935474,0.3898659184217257,0.10016164423762963,0.07870529691290629,0.0611883732020182,0.6127694488335815,0.07362998388217812,0.4109351660314431,0.10136728527113381,0.07232229413843516,0.06077082232957065,0.6479450137925682,0.07641081037567377
Istambul-falgdon1,0.9526602346020208,0.871252604235593,0.8228276091299633,0.5622761935186853,1.2535626965228106,0.5234784092469791,0.5739693743209504,0.5103472126509474,0.5322139601918483,0.36367943958919535,0.7504459985803364,0.33801335963129797,0.589486753104886,0.5788257337233071,0.5562478982689432,0.3833680313611225,0.774377294463924,0.352729508366588,0.6529900277885228,0.5504152421717745,0.5831104528023137,0.4795218393475087,0.9359949300024284,0.4050055372031913,0.5333682024474693,0.4591104167779392,0.5267705369967006,0.4796289932701532,0.7746220180066605,0.3436878678154458,0.261075697248071,0.22525419645868783,0.21812586199103756,0.1371614625453621,0.33487291642705896,0.13672012361476127,0.1866005691336141,0.165622900058934,0.12780318793589585,0.07402100796376732,0.19927114676185287,0.08576814196551696,0.12343977691358399,0.1155027700717115,0.08406520003000462,0.048572999373567516,0.1335966939996016,0.053568354487947056
Istambul-falherb1,0.8371073988448796,0.6817724461785124,0.581780653079387,0.5792437557504189,0.9107304697741134,0.4336938324025579,0.6369926064226858,0.3682721802300808,0.3914734727385729,0.34586909196370463,0.8600125624596069,0.3349791527080843,0.6682818336056633,0.42728556500790127,0.40299448236867974,0.3924615787660293,0.8520280317240445,0.3218689256895151,0.6552230080254873,0.3976196444165805,0.5353404680773699,0.5271306871744776,0.9928069541482643,0.40050215654985477,0.6835485023849228,0.5346600367046037,0.5635927503011684,0.4587866666453415,0.9468866360597814,0.4177466070796225,0.513401478400872,0.5591738164480464,0.3363566906796658,0.20014193171896344,0.5726941418408218,0.31341155804005694,0.1695240782828844,0.18984690852474362,0.1064139546882914,0.07361897125068806,0.1813472987653002,0.09398232469581935,0.050027685957081625,0.06432400101131464,0.04341930895042423,0.035904721656230265,0.05097731271793626,0.026878741043613763
Istambul-falmasi1,0.5578123099106571,0.7121813016919889,0.7959453927563898,0.6870746889135484,0.8155799966169344,0.37514194690299996,0.3500830178553165,0.3261901625572299,0.39938244946668,0.40640255831920835,0.5271208582412885,0.24446484291518833,0.3876609863722775,0.42924571189174077,0.48527416742336915,0.446858683875373,0.5592834127291477,0.26065664549100753,0.5305711826581323,0.4252677767440538,0.7562567907379198,1.012646502856633,1.2403231116639573,0.5115127658572685,0.6475290351121448,0.48002710147547734,0.9668190888697712,1.3366394327421283,1.541254725875035,0.6629843434641776,0.2116172050116123,0.1372038038694443,0.17977550396531816,0.2169489774687976,0.3218275837087641,0.11493232971610223,0.23765531011443675,0.11788075693755751,0.11798027648903608,0.12354120047316486,0.28676066628153407,0.10108542642084717,0.21360640198359881,0.1214479718930872,0.11056045466465259,0.10734635455500952,0.27507364516770116,0.09070004257148456
Istambul-falmcek1,0.9111905677768446,0.714319307769977,0.8240432141899552,0.6220818820684286,0.7981506829286151,0.8189556109536771,0.5716905535601737,0.6628893325566301,0.8191310673819903,0.5422158714330823,0.6684050780449076,0.6585164315742789,1.1868386822587027,1.027640296520227,1.3133945051378673,1.007307979894673,1.5118237666757754,1.2957252996435602,0.4473397904918701,0.5325579298918162,0.6438341878221052,0.4189533975645545,0.44928771571063253,0.49864124580656677,0.31772252147366875,0.37477922955568266,0.4013100403933696,0.25872618757444643,0.2861387149521051,0.2992390128375759,0.17159166406506454,0.13912145889838956,0.1396942633725229,0.14206941694560626,0.11838455041348417,0.10394251864188964,0.17044175403652995,0.10158131319086805,0.10781385967952928,0.13243438431555865,0.09545281852051724,0.0815166181423943,0.11792093761073574,0.07360099107946239,0.08509104319851901,0.11921660329125383,0.0771345750629977,0.05958566086272832
